,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.5,0.25,0.25,0.0,1.5,2.4000000000000004,0.0,1.25,0.0,0.0,0.0023987996499251793
1,1.0,0.5,0.5,0.0,0.0,4.4,0.25,0.0,0.75,0.25,0.010249547163766132
2,1.5,1.5,0.0,0.0,0.0,1.8,1.0,0.0,0.0,0.0,0.0034640375656807233
3,2.25,0.0,0.25,0.5,0.0,1.8,0.0,0.0,0.0,0.5,0.00018840062616264991
4,0.5,0.0,1.0,0.0,0.5,4.800000000000001,0.25,0.5,0.75,0.25,0.005234056106588396
5,0.0,0.25,2.25,0.0,0.5,2.4000000000000004,0.5,0.25,0.25,0.0,0.00040686124362102446
6,0.0,0.25,0.5,0.0,0.5,3.6,0.5,1.25,0.25,0.0,0.0010882603606683972
7,0.75,0.25,1.5,0.5,0.0,4.800000000000001,0.25,0.0,0.25,0.0,0.0033676252226123218
8,0.25,0.0,0.0,0.25,0.75,1.6,1.0,0.25,1.25,0.25,0.04906585737400866
9,0.0,0.75,0.25,0.75,0.25,1.4,0.25,0.25,0.25,1.0,0.2381532660354718
10,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.5,1.25,0.25,0.000251223415516281
11,0.25,0.25,1.0,0.0,0.25,2.0,0.0,0.75,0.75,0.75,0.0016309859866624585
12,0.5,1.0,0.5,0.0,0.25,1.2,0.0,0.0,0.0,1.0,0.02940740957429334
13,0.75,1.25,0.5,0.0,0.25,3.6,0.75,0.0,0.25,0.25,0.07258967667995611
14,0.25,0.25,0.5,0.5,0.5,2.8,1.0,0.5,0.0,0.25,0.026402027495310197
15,0.0,0.0,0.0,2.0,0.25,1.0,0.0,0.5,0.25,0.75,0.028593840833233675
16,0.0,0.25,1.25,0.0,0.0,4.6,0.0,0.75,1.75,0.25,6.4573661792049265e-06
17,1.0,1.25,0.0,0.25,0.0,2.2,0.0,0.25,0.25,0.25,0.09164681831752343
18,0.5,0.25,0.25,1.75,0.25,2.4000000000000004,0.25,0.0,0.0,0.25,0.1337738941359712
19,0.25,0.0,0.0,0.0,1.25,2.4000000000000004,0.5,0.25,0.0,1.0,0.3092413561815706
20,0.0,0.0,1.0,0.25,1.0,1.6,0.75,0.25,0.5,0.0,0.012443091664021695
21,0.0,0.25,0.75,0.0,0.25,1.0,0.75,1.0,0.25,0.5,0.0005607070327860762
22,0.0,1.5,0.0,0.0,0.0,4.0,0.25,0.0,0.25,0.5,4.517883784262018
23,0.0,0.5,0.0,0.25,0.5,4.800000000000001,0.0,0.5,0.25,0.0,0.10746814723653836
24,0.25,0.75,0.0,1.0,0.75,4.800000000000001,0.25,1.0,0.0,0.0,0.04668845547992453
25,0.0,1.0,0.75,0.25,0.0,1.4,0.75,0.75,0.5,0.0,0.002762361359688679
26,0.25,0.0,2.5,0.0,0.0,1.6,0.25,0.75,0.0,0.0,7.258438563356476e-07
27,0.0,0.5,0.75,0.0,0.0,1.6,0.25,2.0,0.5,0.0,1.4517519025321064e-05
28,0.0,0.0,0.25,0.25,0.25,1.0,0.5,1.75,0.75,0.0,0.00030346586948431343
29,0.0,0.25,0.0,0.0,0.0,1.8,2.25,1.0,0.0,0.5,0.007819066773893699
