,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,0.25,0.25,0.25,1.0,2.6,0.75,0.75,0.0,0.25,0.023301305812584883
1,0.0,0.75,0.0,0.5,0.25,2.6,0.0,0.0,0.0,1.0,12.037649966534774
2,0.5,0.25,0.25,0.25,0.0,4.6,0.25,0.5,0.25,0.75,0.03215221871222647
3,0.25,1.25,0.0,0.75,0.25,1.8,0.0,0.75,0.25,0.25,0.16054439532602133
4,1.0,0.0,0.0,0.0,0.75,2.8,0.0,0.5,1.25,0.5,0.0032008952224489027
5,0.25,0.25,0.5,0.5,0.0,3.6,0.75,0.0,0.0,1.0,0.13711656221841761
6,0.25,0.75,0.25,0.0,0.25,1.8,0.5,0.25,1.25,0.0,0.0563118674425824
7,0.25,0.0,0.25,0.0,1.25,1.4,0.5,0.25,0.25,1.25,0.06740000384857187
8,0.75,0.25,1.0,0.0,0.5,4.2,0.0,0.75,0.0,0.0,0.0009666593331938196
9,1.75,0.5,0.25,0.25,0.0,1.6,0.25,0.25,0.25,0.25,0.009248922414450984
10,0.25,1.5,0.0,0.75,0.25,4.0,0.25,0.25,0.0,0.0,1.3977161769701665
11,0.25,0.25,0.0,0.0,0.75,1.0,0.0,0.75,1.0,0.5,0.061545763008586746
12,0.25,0.75,0.5,0.0,0.5,1.2,0.0,0.25,0.75,0.0,0.042734020037740426
13,0.5,0.25,0.25,0.75,0.5,1.2,0.5,0.0,0.0,0.0,0.10575678209171478
14,0.75,0.5,0.25,1.5,0.0,1.4,0.0,0.0,0.25,0.75,0.032911239536478586
15,0.5,0.0,0.5,0.0,1.5,1.8,0.25,0.0,0.25,0.0,0.01782352817404454
16,0.25,0.5,0.25,0.75,1.0,4.2,0.5,0.0,0.25,0.0,0.7736124318351826
17,0.25,0.75,0.0,0.5,0.5,1.8,0.0,1.0,0.25,0.75,0.058056832538900704
18,0.0,0.0,1.25,1.75,0.0,2.2,0.0,0.25,0.5,0.25,0.010683833492551415
19,0.25,0.0,0.25,1.5,0.0,2.6,1.5,0.25,0.25,0.0,0.05400836162651294
20,0.25,0.0,0.25,0.75,0.0,2.4000000000000004,0.0,0.0,0.0,1.25,0.330217140162016
21,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.75,1.5,0.75,0.0038998509570171295
22,0.0,0.5,1.0,0.0,0.5,2.4000000000000004,0.25,0.0,0.25,0.75,0.028046719530931977
23,0.5,0.0,0.25,0.0,0.0,3.8000000000000003,0.5,1.75,0.5,0.25,0.00072944660972412
24,0.0,0.0,0.0,0.75,0.0,4.800000000000001,0.5,0.75,0.25,1.25,0.05894473919079254
25,0.0,0.5,1.25,0.0,0.75,4.4,0.5,0.25,0.0,0.5,0.00830305465584848
26,0.5,1.5,0.0,0.0,0.75,1.8,0.5,0.25,0.25,0.25,0.30312619485609743
27,0.0,1.25,0.25,0.25,0.0,2.6,0.75,0.0,0.5,0.25,0.4444039143771191
28,1.0,1.0,0.5,0.5,0.25,3.2,0.0,0.0,0.0,0.25,0.10213079108470162
29,0.25,0.0,0.0,1.25,0.0,4.0,0.25,0.25,0.25,0.75,0.45821958136457874
30,0.25,1.75,0.25,0.0,0.0,3.0,0.25,0.0,1.0,0.5,0.08526149034188768
31,0.0,0.25,0.0,0.0,0.25,3.2,0.0,1.0,0.25,2.25,0.010592376914807206
32,1.25,0.5,0.25,0.25,0.25,4.0,0.5,0.5,0.0,0.25,0.011062846303046346
33,0.0,0.0,1.0,0.75,0.0,3.8000000000000003,0.5,0.0,1.0,0.0,0.004830120939227188
34,0.0,1.25,0.25,0.5,0.0,1.4,1.5,0.0,0.0,0.0,0.29458004134052784
35,0.0,0.25,0.25,0.5,0.25,4.800000000000001,0.25,0.0,0.5,0.75,0.5503492381346
36,0.75,0.0,0.5,0.0,0.25,2.4000000000000004,0.5,0.0,1.25,0.25,0.00317683899581132
37,0.5,0.25,0.0,1.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.75,0.31778959625837433
