x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Value,Timestamp
-9.67321024389423,-9.245979310398035,-9.297742060802355,-9.347931754307108,-9.414141425960594,-8.859751041121319,-8.857006240964488,-8.897216125899222,-8.095605596613405,-9.365540830450195,-8.707840038170685,-9.054974144392943,-8.94059307629291,-9.577946804463904,10888585.276699392,88
-9.554932975570143,-9.068470804977933,-8.798072180194003,-9.176651337520253,-9.224125174362706,-9.421027625206827,-8.90610096918353,-8.410191148020827,-9.108755341014309,-9.166156834925767,-9.029776845247854,-9.665406810430085,-7.974132125534015,-9.21260238142839,10818563.71388545,99
-8.23404123227157,-8.785284156153113,-9.28379521452474,-9.467018056473862,-9.084965497568167,-9.167775703203766,-8.689031108071735,-9.162363318996007,-8.830303947613052,-8.276049252580902,-9.210620124886903,-8.617147573799771,-9.179171912905385,-9.153106281201994,10293042.066313336,102
-8.808194024067307,-9.517115306001886,-9.195055216017536,-9.426680223833795,-9.420220787999536,-8.6000167075706,-9.409552033218853,-8.787768289822385,-9.23547704368353,-8.646446630148516,-8.679249972996024,-8.830332622654314,-9.15630188190437,-8.792165691958992,10846070.065277828,103
-9.297745014380073,-9.923028628239987,-8.854598720648504,-9.22362913664142,-8.951124037962815,-9.292210417765371,-9.19581274645012,-8.729057905095837,-9.119663412884654,-8.703903173840226,-8.816586696763915,-8.702701384703941,-8.564105829640896,-8.766011962461178,10735624.591976771,105
-8.911384466665492,-9.000042171850303,-9.100639341395299,-8.911805463557215,-9.130522103562608,-8.982595611817642,-8.809949888986448,-8.792240496074664,-8.939497576162733,-9.019571850823707,-9.099377026318356,-9.003326371982618,-8.988026627742144,-9.033776429251382,10434088.943889836,12576
-8.911384466665492,-9.000042171850303,-9.100639341395299,-8.911805463557215,-9.089703030114244,-8.982595611817642,-8.809949888986448,-8.792240496074664,-8.939497576162733,-9.019571850823707,-9.099377026318356,-9.003326371982618,-8.988026627742144,-9.033776429251382,10419684.087904196,22550
-9.056743153028501,-8.982128184928897,-8.913348498747407,-9.097443646415856,-9.119813505039717,-8.887792471077633,-9.081675080390863,-8.918314246864172,-8.922999433017484,-8.874673619138537,-9.183978116245676,-9.046787661216115,-9.0156599478267,-8.998326675784421,10570845.344105883,32849
-9.056743153028501,-8.982128184928897,-8.913348498747407,-9.075384386577062,-9.119813505039717,-8.887792471077633,-9.081675080390863,-8.918314246864172,-8.922999433017484,-8.874673619138537,-9.032452876299933,-9.046787661216115,-9.0156599478267,-8.998326675784421,10509642.369637817,40776
-8.911384466665492,-9.000042171850303,-9.100639341395299,-8.911805463557215,-9.089703030114244,-8.837657039433436,-8.809949888986448,-8.792240496074664,-8.939497576162733,-9.019571850823707,-8.991368869610504,-9.003326371982618,-8.919147727348555,-9.033776429251382,10310769.176993966,50430
-8.911384466665492,-9.000042171850303,-9.100639341395299,-8.911805463557215,-9.089703030114244,-8.982595611817642,-8.809949888986448,-8.792240496074664,-8.939497576162733,-9.019571850823707,-9.010432631342953,-9.003326371982618,-8.988026627742144,-9.033776429251382,10388759.200892774,58590
6.253841345138312,0.6648786179509347,9.357858057016237,0.47785470205663216,1.3169341386348847,1.904106269115326,-0.06667243169525783,-2.3684407774362315,6.888835575830917,-6.3419549840339275,0.3768655008854882,1.7095804032766502,-0.00145588888682191,5.208133100766245,1368651.1906472105,58639
-8.51097706347663,-3.1299097971886747,6.120577580062651,-9.027191187243021,-4.513024169328373,-6.228981851295448,7.780180112459551,0.18455194905163452,5.113936517344488,7.724686248159173,8.942051056179267,-0.21628300501035191,-5.3086401150347955,5.68596934174386,3050000.8425606578,58765
