,Good,Poor,Weak
0,3.577580457727202,21.91520729123673,17.153633919394455
1,3.577580457727202,21.510257424678,17.153633919394455
2,3.577580457727202,20.845753977934613,17.153633919394455
3,3.577580457727202,20.845753977934613,17.153633919394455
4,3.577580457727202,19.467799251923065,17.153633919394455
5,3.577580457727202,19.467799251923065,17.153633919394455
6,3.577580457727202,19.467799251923065,17.153633919394455
7,3.577580457727202,15.961117396472654,17.153633919394455
8,3.577580457727202,15.961117396472654,15.80974819367572
9,2.9514872007598116,15.961117396472654,15.304071171376153
10,2.9514872007598116,15.961117396472654,14.23816369761157
11,2.9514872007598116,15.859976479330069,14.23816369761157
12,2.9514872007598116,15.831852605768187,14.23816369761157
13,2.9514872007598116,15.831852605768187,14.23816369761157
14,2.9514872007598116,15.831852605768187,14.23816369761157
15,2.9514872007598116,15.695759546208244,14.23816369761157
16,2.9514872007598116,15.10080572153762,13.681982564915462
17,2.9514872007598116,14.396191494848129,12.43036484615353
18,2.9514872007598116,14.376248247327968,11.384436329614068
19,2.9514872007598116,13.780968593894835,11.384436329614068
20,2.9514872007598116,13.780968593894835,11.384436329614068
21,2.9514872007598116,13.780968593894835,11.384436329614068
22,2.9514872007598116,13.780968593894835,11.205698036218134
23,2.9514872007598116,13.780968593894835,11.205698036218134
24,2.9514872007598116,13.283034021094757,11.205698036218134
25,2.9514872007598116,13.263315831837872,11.205698036218134
26,2.9514872007598116,11.900228702916795,11.205698036218134
27,2.9514872007598116,10.776355023493066,11.205698036218134
28,2.9514872007598116,9.89661238831744,10.564153606724249
29,2.9514872007598116,8.468540913797971,10.337978347531354
30,2.9514872007598116,6.905688739607866,10.337978347531354
31,2.9514872007598116,6.38359384052951,10.120076876363584
32,2.9514872007598116,6.142688237982284,9.464508373844057
33,2.9514872007598116,6.142688237982284,9.464508373844057
34,2.9514872007598116,4.606979102473343,9.464508373844057
35,2.9514872007598116,4.606979102473343,9.464508373844057
36,2.9514872007598116,4.46962460855563,9.464508373844057
37,2.9514872007598116,4.46962460855563,9.304485672390896
38,2.9514872007598116,4.46962460855563,9.304485672390896
39,2.9514872007598116,4.46799864769476,8.846486688978596
40,2.9514872007598116,4.46799864769476,8.846486688978596
41,2.9514872007598116,4.46799864769476,8.846486688978596
42,2.9514872007598116,4.46799864769476,8.168502816289417
43,2.9514872007598116,3.8517004123731384,7.432488212957285
44,2.9514872007598116,3.71238462184811,7.432488212957285
45,2.9514872007598116,3.6467246897956236,7.3253934302596715
46,2.9514872007598116,3.6297217247958935,7.3253934302596715
47,2.9514872007598116,3.5204835204448246,7.3253934302596715
48,2.9514872007598116,3.381091057000501,7.3253934302596715
49,2.9514872007598116,3.381091057000501,6.111862420379211
50,2.9514872007598116,3.381091057000501,5.269125733817113
51,2.9514872007598116,3.0227094592968315,5.269125733817113
52,2.9514872007598116,3.0227094592968315,4.875091161243384
53,2.9514872007598116,3.0227094592968315,4.875091161243384
54,2.9514872007598116,3.0227094592968315,4.875091161243384
