x1,x2,x3,x4,x5,x6,x7,x8,x9,target,iteration
-24.08905,32.605846,26.574543,10.61549,-28.099075,-26.541409,-24.898697,-30.161337,-32.540882,-21.76836,1
8.942589,16.713894,-30.024902,25.575317,-13.042849,13.566219,26.540241,-12.648117,8.987301,-21.229012,2
18.804192,-23.683102,-12.477016,17.801025,-1.844162,6.999386,4.1283836,30.117271,12.385124,-20.832607,3
-0.6989212,-14.907736,1.7100143,-4.756222,-30.090248,-21.617912,12.738609,29.263584,-8.595398,-21.158535,4
22.945099,-4.8050213,-11.373585,-15.621588,-24.176365,4.794956,-27.26436,-25.591501,1.0555191,-21.108395,5
22.168331,-26.454157,-9.064011,2.964917,-8.941039,3.7912931,-9.205843,21.490408,9.085622,-20.35056,6
27.999884,-32.768,-6.069019,-4.397375,-8.049888,3.251297,-19.007168,28.533087,10.694852,-21.051105,7
18.846327,-22.207357,-10.820914,4.5463448,-11.536933,3.7607899,-5.5157146,12.768046,7.070008,-20.094765,8
14.264769,-31.684328,-9.669207,7.435623,-14.126284,3.0513656,-4.2889895,1.6535325,5.343017,-20.509605,9
17.085413,-0.24573885,-10.463147,6.2633905,-9.648924,2.9705951,-5.472594,14.273024,3.6091294,-18.815655,10
17.243305,8.825432,-8.110824,5.997215,-7.3637047,1.6229987,-8.503525,19.833984,1.6976073,-19.286919,11
19.16374,0.6209038,-12.48581,6.479197,-12.0564575,7.9804306,-8.911238,0.7698536,11.326515,-19.217136,12
18.098272,-1.635425,-16.4665,5.8506455,-5.371754,3.679058,-2.5430949,12.952365,-9.400662,-19.34425,13
9.565716,-2.6254776,-1.1263576,8.850179,-11.091187,-0.63981795,-12.7496,18.20925,2.965264,-18.569292,14
17.188757,-2.2509613,4.2131805,8.058261,-10.232428,-5.7481503,-6.9047594,9.829605,14.302289,-18.581387,15
-5.088727,-1.850703,2.193345,4.6743603,-10.349375,-6.8083444,-6.2178254,32.768,13.439777,-20.15318,16
16.172216,-2.5934587,1.9475646,9.281568,-15.52078,-0.9527634,-16.195318,30.7642,1.9065437,-20.351765,17
-1.0241411,0.45827964,2.6534512,10.253372,-10.557075,-0.08134338,-17.703247,11.804743,10.316518,-18.730064,18
6.5206976,-1.7254243,5.105083,11.554643,-11.790992,-4.406342,-10.947678,12.645268,9.267945,-18.580643,19
16.6089,-1.0503625,1.0663251,7.111507,-10.102475,-5.988385,-13.698985,12.220765,-12.852004,-18.627155,20
15.942211,-1.792213,4.6734834,-4.5622973,-9.8785,3.6901445,2.3302517,15.063597,23.320217,-19.687778,21
9.987927,-2.4514964,8.988845,11.282454,-9.320693,-2.26783,-22.781166,10.002004,14.260833,-19.613548,22
-8.584845,-2.2149386,-3.40431,12.996125,-5.6455564,-2.8726768,-10.484171,11.944703,15.534325,-18.804115,23
-1.4723591,-0.10211605,0.22715943,5.5440235,-15.026391,4.078803,-11.085213,12.75925,14.657108,-18.44899,24
13.895879,0.11496331,-4.6168804,1.6198713,-17.240458,-11.553818,-11.995714,12.756147,32.694523,-20.733967,25
-3.906251,-1.3343377,1.0539606,7.124326,-9.257607,5.0129614,-7.759784,8.513215,0.23600712,-15.303257,26
-9.743458,-1.3027387,2.9908388,6.475115,-7.0883126,7.285672,-5.433834,3.5759783,-4.525407,-15.820649,27
-2.515251,0.5712429,2.7202353,4.416866,-7.5274057,6.785976,-4.652021,5.960997,-3.979534,-14.322136,28
-1.2621634,1.3425664,4.72857,1.9318728,-5.9576545,8.849083,-2.5835655,2.9348772,-9.842511,-14.5362835,29
-2.1349401,5.9901743,-3.7646866,-6.0105333,-5.3933334,6.056503,-1.0554779,2.8840318,-3.195229,-12.733618,30
-2.451891,7.8901157,-6.347687,-10.359142,-2.0404696,8.512113,2.1189623,1.2035092,0.41671702,-15.529561,31
-2.9199014,8.649044,-5.725357,-5.9396873,-8.706388,4.3136735,-1.7196605,2.0029886,-5.0737767,-14.880873,32
-1.1808928,1.588236,-18.54397,-5.272425,-5.262943,5.5972652,-7.2007174,15.973601,3.6838894,-18.674332,33
-0.9314691,2.9090943,-0.55476856,-4.6527677,-3.866719,8.595157,0.51787746,0.74745625,-7.694905,-13.676276,34
-1.8871101,2.347281,3.104478,-4.8167496,-2.9252272,-12.381785,2.2663534,-2.3894696,-2.3678553,-14.282527,35
-1.065676,10.32618,1.4357855,0.2454188,-5.8253636,30.04735,12.07429,-2.0346904,-3.2859445,-19.407703,36
-1.8082604,-1.2948233,2.6997333,-9.808275,-0.9058454,0.8197138,-6.767121,1.3359429,-5.851543,-13.582369,37
-0.25702462,6.492844,1.3850355,-2.0475876,3.9370773,-0.4516486,0.76993495,-7.0605707,-7.330139,-13.326887,38
-4.092802,4.636629,3.462522,-10.414615,2.393378,-0.80311424,6.5602727,3.1297843,-12.928765,-16.460876,39
0.6361703,3.6000695,-0.7199826,-9.817717,6.8541203,2.4746776,-4.690634,-12.135968,-6.3824997,-16.408161,40
-0.08979659,2.0897624,1.7096071,-1.9420694,-1.4711832,1.5490601,-3.0952497,0.44717264,-0.19390762,-7.354102,41
-1.1530335,1.0056912,5.172197,-2.149342,-0.6322522,1.3883287,-1.7442338,0.67813843,4.257206,-9.585193,42
4.348919,1.8021679,-1.8268507,-1.2238408,-1.6570284,0.30215415,-17.171041,-2.603938,2.3581467,-15.985524,43
0.38495046,6.234353,-1.7134378,-1.1114445,-2.212736,-0.72427356,-4.0062795,-0.93340206,2.1685424,-9.9795065,44
3.5850947,32.768,7.9910784,-2.139307,-1.0496436,1.1703465,-3.5576644,4.1314173,0.51960915,-19.581043,45
19.853647,-4.5928254,2.0118291,-1.951509,-2.07678,0.2285659,-2.276066,-2.828523,-0.34041628,-16.46217,46
-3.0158396,-5.9363775,-1.6813567,-0.52963966,-1.787123,-0.0809326,-1.1839106,-5.8553495,3.9213407,-11.029598,47
-1.9507762,0.47641143,1.4479407,0.039563153,3.0968823,-0.40334347,-2.6350648,11.68062,1.3399812,-13.302288,48
-1.4256254,4.4730062,9.980954,-1.2124794,-3.8210785,0.24510218,-2.5814106,-10.184583,5.588177,-15.310483,49
-0.23805624,-2.2280972,-17.812548,-0.50150084,4.3861947,-0.05338002,-2.4785385,0.72324294,3.1619039,-16.14767,50
0.54799676,0.4828953,-0.097799376,-0.045535084,2.229646,5.927987,-3.4841406,0.3018813,12.353931,-14.1394005,51
-0.059949715,-3.8276117,2.176233,-0.112940736,-2.7100534,-1.3311198,-0.33335495,2.0962534,-1.9142847,-7.9596643,52
0.142222,-0.20443422,0.7136287,-0.46770516,-2.845471,-0.24053043,3.6676283,2.4849355,-0.09708132,-7.751957,53
-4.4332466,0.5355029,1.4483154,0.3394417,-2.629717,-1.0211796,2.2520306,2.380265,-1.3258042,-9.152469,54
2.9795973,-3.0414362,1.9604731,-1.5339055,-2.2680137,0.13053459,3.0427313,1.9213306,0.081293,-7.9749174,55
2.832693,-1.7694147,2.9276445,2.3706117,-1.2159232,0.19709738,1.8675277,1.2887042,-1.0057652,-7.7185564,56
2.6888447,-0.41494623,0.1936795,2.2407768,-2.4496217,-0.33096257,2.163177,1.1447113,-0.612182,-7.571501,57
3.348496,0.8436314,4.772962,0.9698747,-2.4028573,-1.0893368,1.8758365,2.7261715,-1.28406,-9.352618,58
1.0526259,-4.0655227,0.6098502,0.6701634,12.898114,0.5383405,2.2337074,0.42135102,-0.11795385,-13.699474,59
1.2202346,-6.667275,-0.04704251,1.4817703,-1.0620278,1.1294347,2.56612,0.76379204,-0.33122346,-9.677284,60
2.049792,0.31117293,-0.28496498,-0.3998764,-5.958168,-1.3395936,5.8238773,0.4396195,2.648063,-10.935576,61
1.0193402,-0.2829301,0.74703234,5.4810376,0.3122851,-2.4754558,-0.67662585,0.85368556,-1.151103,-8.72039,62
1.8825527,3.4588253,2.169237,5.179632,1.1422254,3.354923,3.4951017,0.9079672,-0.32543716,-10.382903,63
2.797428,-3.2159338,-0.73395836,-0.6124714,-0.48993653,-3.5189188,-0.057201345,2.834197,-0.7787137,-8.700229,64
-0.21314,-8.253695,7.5348086,1.5637357,-0.29657608,-2.6434531,0.13191424,0.9877141,-0.9449135,-12.534491,65
1.5520312,-0.51296747,-0.65347785,-0.61083317,-1.3798641,0.44801268,-0.31823954,-0.52624553,-1.4549296,-5.7258425,66
2.1467445,-0.686953,-1.85782,-0.5575357,-1.0800527,0.9082174,-0.29158586,-2.942519,-3.0592642,-7.313279,67
-0.07167054,-1.7325262,-6.0588603,2.9394975,-10.083954,-4.350228,-4.755399,-4.1818995,-5.965408,-14.0468445,68
5.16295,1.0319752,-2.6994588,-3.6229138,1.0444838,1.284718,0.37416822,1.3645636,-0.77744675,-9.432784,69
2.6145291,-3.0927625,0.92134553,8.554669,4.03644,6.6642504,-3.7618947,-9.386915,-5.490466,-15.334329,70
1.2603419,-4.4907875,-0.7228554,-0.65022504,1.3312347,-2.642496,7.808709,-4.771013,-9.070358,-14.037841,71
-4.9300127,1.2767897,-2.434666,1.7326314,0.8302542,0.033013236,-6.586593,-0.123031214,-4.2719407,-11.248396,72
3.397279,-1.9441715,0.28123516,-4.424862,-7.8052707,4.30389,-2.4342349,-4.2354255,1.407321,-12.888136,73
-0.58302754,-0.5970302,4.260324,-5.9578176,22.901913,0.61365193,3.8365877,-6.8162127,0.8219769,-17.947552,74
1.2462062,1.6522175,-11.873141,-3.9243755,-3.8077893,-3.8511536,1.0710411,-1.2159458,-4.443673,-13.876657,75
3.6921568,-0.24506554,0.065117925,0.47087926,1.9293597,-1.961694,0.22718988,-6.028614,2.782459,-9.697171,76
1.253554,-0.54780054,-0.37112638,0.37442577,-1.4673741,0.43411806,-0.8825394,-0.08527868,-1.0111217,-4.9690943,77
2.0004911,-0.41487026,-0.45629552,2.1206794,-2.4143317,1.0511138,-1.5951186,0.842545,-27.307753,-18.62202,78
1.4510472,-0.6922051,-0.7030665,0.77747744,-1.5788155,0.61064917,-1.3302099,0.16384725,-1.0496675,-5.631137,79
5.3003936,-3.565533,5.3671246,3.2250872,-2.3416853,0.48041016,-5.707503,-1.8626089,-1.553729,-12.551081,80
-0.62046635,-4.849535,11.407541,-16.282383,5.188471,-9.3408785,5.8540306,-6.555738,4.1439238,-18.065254,81
-2.2768047,1.143912,-7.5650225,6.641634,-3.7669053,3.4870608,-0.3203601,-2.28901,1.5733627,-13.007657,82
-0.072580814,-1.0409034,-4.0143423,-2.6586127,-3.584159,-1.0363659,-3.6868432,2.5603209,3.9553194,-10.187385,83
-1.3295394,-1.5828182,1.158722,-1.386032,2.0889647,2.833945,0.6749948,-1.3415631,-1.6989132,-7.55017,84
32.768,-3.3777514,-1.0737174,-1.6751535,-4.759844,-2.828745,-14.356804,1.4056109,1.4892937,-20.166004,85
-9.768293,16.381966,3.518567,15.176647,-5.1838694,-3.4331884,7.8910623,2.0523546,25.312174,-20.032307,86
0.6096974,-0.33171427,-0.3960327,-0.045072556,-0.5809893,0.50370896,-0.78846663,0.08450546,-2.072607,-4.8696527,87
-17.100042,-8.477908,4.3791647,14.338144,-19.976812,6.510691,-12.379407,11.845395,4.4575076,-20.23024,88
2.5673885,0.6151325,-4.3907366,2.2871213,1.9634167,2.141768,-3.647666,4.037148,-6.18462,-11.739573,89
0.24780902,-0.34663415,0.24837443,-0.53440106,-1.3281821,0.107460946,-0.34506518,-0.810031,-1.8945374,-4.9480143,90
-4.2584906,-2.100709,5.432431,0.10832805,-5.279941,-1.0530516,-1.086661,-8.191875,-8.63837,-14.102629,91
-0.85872144,0.2805667,-1.2563822,-3.3286257,2.0530238,-1.8336926,0.45661962,-0.7936327,-0.31932884,-7.058818,92
26.639761,-7.4870844,5.657262,-2.6342788,-7.1922746,2.5181646,9.19665,10.807699,-6.397348,-19.867756,93
27.344559,-8.833944,1.6598793,0.9904152,3.9834564,6.737827,4.189865,-5.881285,15.653391,-19.479538,94
23.896147,-9.73662,9.553267,-18.967379,4.9405727,-5.540501,0.9956164,-5.3817496,1.5692506,-19.732983,95
-1.0018147,-7.010311,-8.564857,-4.9997993,18.16297,-1.4730431,-15.306561,-13.16405,7.5758886,-19.039371,96
28.42304,-8.210465,-7.1100864,1.5597347,-4.553612,2.7833433,2.7979066,-16.53004,-10.370076,-20.260197,97
27.21971,9.597282,8.88003,-3.752859,-9.834344,2.0131187,1.861445,-7.505661,6.5396543,-19.556461,98
1.1407473,0.05977102,1.3624991,-2.545493,-0.19951336,-2.4287596,-1.929661,-1.842019,-2.9311578,-7.7325134,99
-12.022336,-3.0541742,11.215982,13.183039,-8.028483,15.441738,-4.972561,2.7195232,-29.459127,-20.081642,100
