x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,Value,Timestamp
-2.4624596797413076,-2.7223116551420414,-2.00735562753587,-2.2353483476951106,-2.0431061438513134,-2.5792354797645176,-2.2088279015944408,-2.4007172118513167,-2.2048882964072467,-2.1707783379498355,-2.273342669563804,-2.7928614270778773,-2.018506515645777,-2.441598749701555,-2.2663133430919746,-2.498160326856956,-1.794114713380416,-2.277322165033551,-2.1807839874421235,-2.317271806787623,138.9317577974193,19
-2.2828832804375123,-1.960697055289828,-2.0688422651734095,-1.8313895299369802,-2.592968625509728,-2.1649767330099334,-2.450624336381833,-3.051768214468688,-1.4606707117278317,-2.3860983553248403,-2.816611314153214,-2.0168641740782656,-1.4395633322631385,-2.037071088235364,-2.0790158523676783,-1.4448438834178639,-1.6870900286259853,-2.1504152036023476,-2.9163973575292657,-1.8724819093100606,119.07773739580777,21
-2.104670432521442,-1.5361978293472012,-2.398511420945,-2.126362501672245,-2.5720712348043975,-1.912882910338769,-2.190038070050701,-2.3419285713292664,-2.951009989460524,-2.3797062874369384,-1.8886413464612049,-2.0813227985589156,-2.529975279637023,-1.9738296059647862,-2.5114517296539756,-1.4587416371728066,-2.2777638285999506,-1.8689625565156534,-2.4475836589969826,-2.286719463372693,127.60112583062971,22
-2.555885727553292,-1.5326942496125273,-1.6214298103500755,-2.765256015544866,-1.7874836340409022,-1.7958561415601473,-2.004788367936821,-2.3762261702935827,-2.5077915262561747,-2.4763124780165113,-2.0066463248326807,-2.4126353828389355,-1.921178090002842,-2.137196060061571,-2.2328700878443137,-2.144947594839699,-2.4334966013561163,-1.8062169066251834,-2.1414033425991614,-1.6635371237223697,123.50044461507206,24
-2.5935551152595253,-2.1556186175639356,-2.0229043858619495,-2.1448662287055056,-2.252284891230693,-2.4070745074319015,-2.0847577015748495,-2.6067572910596426,-2.097254806617563,-2.2250432699639737,-2.308928817727929,-2.2127070674438167,-2.2158922251037687,-2.5341274701253176,-2.219109070861245,-2.373251077480427,-2.772462244097991,-2.4431477995172988,-2.5733347667488435,-2.607316307183794,142.4648580032885,25
-2.2074964244616293,-2.1556186175639356,-2.0229043858619495,-2.1448662287055056,-2.0980991094104677,-2.0547131119089386,-2.0847577015748495,-1.9531907785427816,-2.0972548066175634,-2.2250432699639737,-2.1457108136687664,-2.2127070674438167,-2.1670336747283647,-2.38156615403048,-2.219109070861245,-2.075238762809139,-2.2253366626143887,-2.111288171280763,-2.3071031417347587,-1.8351037464729352,129.55937263723635,52064
-2.173588803422712,-2.0906871696524343,-2.1529185969647084,-2.229160954673217,-1.8449334270840279,-2.0510533782578015,-2.113735177804676,-2.124338138054325,-2.3888544602472095,-2.2347535547400543,-2.219601103193636,-2.137086488259138,-2.107312203531687,-2.2207307849434015,-2.3010534905798155,-2.0707479629552985,-2.180361483143783,-2.2873833420704077,-2.073530963727654,-2.1575881145363507,130.29692588988692,99394
-2.1620292078191783,-2.139829690373042,-2.1883422595208657,-2.3305856196023464,-2.116195667529665,-2.119124984785783,-2.063319953884465,-2.372568947480291,-2.219153788166833,-2.316989405251773,-2.1610081519277937,-2.086818409527431,-2.1820251528655774,-2.2135650489275447,-2.180183154455108,-2.261981403422554,-2.2966464656772754,-2.089678445763985,-2.1059886724037273,-2.201437959387846,133.55782968102517,141865
-2.2611922733917815,-2.1237593256777636,-1.8109872392808484,-2.337683854570286,-2.119642087652301,-2.129357707113413,-2.2144410079995946,-2.0775647658135417,-2.085176474752968,-2.288933364422938,-2.1523427237525814,-2.0769225220780267,-2.174187818977874,-2.2184502817206013,-2.2145895666542903,-2.1083766468324363,-2.0978645208359765,-2.199333783114344,-2.1798805215233656,-2.3399311942450645,129.6663980882867,188633
-2.0919193930526934,-2.0607432245631614,-2.206273472794712,-2.3550140767751664,-1.9319890458159197,-2.1879104225888204,-2.2046673010628375,-2.3933049503976385,-2.137958263096325,-2.423545079419994,-2.0338034049782783,-2.0583148890856275,-1.9375209881247777,-2.1477184554630626,-2.2080654025725233,-2.1802488779127893,-2.1950958956689615,-2.2096460028486,-2.213085089571507,-2.231768339949987,131.0170199957809,234190
-2.1282691955367197,6.832180642653501,4.727487765930594,-4.874302240953607,0.17641920339121242,-9.802999368029122,-8.381593200348616,5.620969843194857,-5.945974688161724,8.041262296517129,6.738056410616849,2.7680526534233607,-1.2737099021621638,2.899777345257542,1.674030057697344,-0.8642592631962671,1.7270661012764261,4.198732092524903,7.575150936488022,9.316239526895291,184.82337988986066,234830
-2.3328489571924225,-2.249218341786767,-2.099512580712072,-2.336497501594513,-2.071393974493209,-1.9416661942691498,-2.1532853625029986,-2.1948464898425444,-2.1795988967197513,-2.1565152219595234,-2.0073504168066645,-2.1180264592876235,-1.8539726103246608,-2.1233924507697575,-2.219805040057445,-1.905144315679589,-2.2269042998417294,-2.1489746302156645,-2.1818847826275087,-2.09080380965802,127.44296901792201,281761
-2.1925099229467646,-2.01555539034144,-2.0621342694352505,-2.058059117641145,-2.111203501168726,-2.098751770907806,-2.1390007055126947,-2.173936763983918,-2.339300838185588,-2.2141713836578,-1.9737191956980311,-1.897524234881283,-1.9218983090428399,-2.143654720880698,-2.0550421665164778,-2.222625866396558,-2.157484351558062,-2.146329515990856,-2.1292471751464035,-2.1389216553917647,125.37445845432461,327906
4.6400608423409615,-7.066472223115768,-4.665610080380467,-3.3147363440086233,3.026553126061211,6.0494638915466545,-3.4117421783063655,0.9739534057270216,7.696386414976612,-6.0488758683473565,0.5167124205910678,-9.753857242360477,-8.113830192824086,1.3664083018731858,-3.5399792953860922,-9.20521455655099,-2.1778124152114664,8.230812730472557,6.048256604367101,5.925483518887933,254.8709233992531,328865
-2.1620292078191783,-2.0065879571490006,-2.1883422595208657,-2.298372909617684,-2.1161956675296647,-2.119124984785783,-2.063319953884465,-2.057590190433922,-2.219153788166833,-2.2043230841602774,-2.1610081519277937,-2.086818409527431,-2.1820251528655774,-1.572174823007801,-2.180183154455108,-2.051813107692306,-2.2966464656772754,-2.089678445763985,-2.1059886724037273,-2.1900345316816985,125.89432107040568,371596
-2.173588803422712,-2.0906871696524343,-2.1529185969647084,-2.229160954673217,-1.8449334270840279,-2.0510533782578015,-2.113735177804676,-2.124338138054325,-2.3888544602472095,-2.2347535547400543,-1.6769350665370748,-2.137086488259138,-2.107312203531687,-2.2207307849434015,-2.261273100779877,-2.0707479629552985,-2.180361483143783,-2.2873833420704077,-2.073530963727654,-2.1575881145363507,127.01910275885842,419544
