,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.25,0.0,0.25,0.25,1.25,3.4000000000000004,0.25,0.0,0.5,0.0,0.16357799520480468
1,0.25,0.0,0.25,0.5,0.25,3.6,0.0,0.0,0.0,1.75,0.4431328884263305
2,1.0,0.0,1.25,0.0,0.0,3.8000000000000003,0.25,0.0,0.75,0.0,0.012033649507715068
3,0.0,0.25,0.5,0.5,0.0,3.8000000000000003,0.0,0.5,0.5,0.5,0.010876411797279315
4,0.0,0.0,0.25,0.5,0.25,4.800000000000001,0.5,0.75,0.25,0.0,0.057605131357502205
5,1.75,0.25,0.5,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.03548339062724859
6,0.75,0.0,0.75,1.0,0.5,2.6,0.5,0.25,0.25,0.0,0.01910626488464528
7,0.5,0.0,0.0,0.25,0.75,2.6,2.0,0.25,0.0,0.0,0.03852346393290454
8,0.25,0.75,0.25,0.25,0.25,2.4000000000000004,1.0,0.0,0.75,0.25,0.22792806133868598
9,0.25,0.0,0.5,0.25,0.25,1.2,0.0,1.75,0.5,0.0,0.00022842964961909484
10,1.5,0.0,1.5,0.0,0.5,3.4000000000000004,0.25,0.25,0.0,0.0,0.0006295820523128572
11,0.0,0.5,0.75,1.5,0.0,4.4,0.25,0.0,0.5,0.0,0.033323014836809495
12,0.25,0.0,0.75,0.0,0.75,4.6,0.5,0.25,0.75,1.0,0.016368414269150686
13,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.5,0.0,2.75,0.036800503859293836
14,0.25,0.75,0.25,0.0,0.75,3.2,0.0,0.0,0.0,1.5,0.9794531871713487
15,0.25,0.0,0.5,0.0,0.75,1.0,0.0,0.25,0.25,2.0,0.01318519028977563
16,0.25,0.25,0.5,0.0,1.0,4.2,0.25,0.5,0.25,0.5,0.021821551228082048
17,0.0,0.75,0.0,0.25,0.5,4.2,0.0,1.5,0.0,0.25,0.01339510679768699
18,0.25,0.0,0.0,0.0,0.75,2.6,1.5,0.25,0.0,0.5,0.2838926084462402
19,0.0,0.0,0.0,0.25,0.0,2.6,0.5,0.0,0.75,0.75,0.9421866665878795
20,0.5,0.0,0.0,0.0,0.25,4.4,0.75,0.5,1.5,0.0,0.010410356468233215
21,0.25,0.0,0.5,1.0,0.0,4.800000000000001,0.5,0.5,0.75,0.25,0.010195098524280723
22,0.5,0.75,0.5,0.0,0.75,1.2,0.5,0.25,0.5,0.0,0.06708619530460183
