,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
55,0.0,2.5,0.0,1.0,1.0,4.6,0.0,0.0,0.0,0.0,13.557660405031656,Global
56,0.0,2.5,0.0,1.0,1.0,2.8,0.0,0.0,0.0,0.0,11.479850660044203,Global
57,0.0,2.5,0.0,1.0,1.0,3.8000000000000003,0.0,0.0,0.0,0.0,13.422395950419673,Global
58,0.0,2.5,0.0,1.0,1.0,1.8,0.0,0.0,0.0,0.0,8.607022190682404,Global
59,0.0,1.0,0.0,0.0,0.75,5.0,0.0,0.0,0.25,1.75,8.58985730519861,What they knew
60,0.0,1.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,1.75,13.40616245940933,What they knew
61,0.0,1.25,0.0,0.0,0.75,4.0,0.0,0.0,0.0,1.75,15.769425736297748,Global
62,0.0,1.5,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.5,14.356726295422853,Global
63,0.0,1.25,0.0,0.0,0.5,3.8000000000000003,0.0,0.0,0.0,1.75,14.995547030914878,Global
64,0.0,1.25,0.0,0.0,0.5,4.0,0.0,0.0,0.0,2.0,14.413770596514329,Global
65,0.0,1.25,0.0,0.0,0.75,3.6,0.0,0.0,0.0,1.5,15.691247630778975,Global
66,0.0,1.75,0.0,0.0,0.75,5.0,0.0,0.0,0.0,1.5,16.8356634506709,What they knew
67,0.0,2.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,2.0,13.143923552307964,What they knew
68,0.0,2.75,0.0,0.0,0.75,4.0,0.0,0.0,0.0,0.25,14.652622840033352,Global
69,0.0,2.75,0.0,0.0,1.0,3.8000000000000003,0.0,0.0,0.0,0.5,18.041421406494326,Global
70,0.0,1.5,0.0,0.25,0.5,4.4,0.0,0.0,0.0,1.25,15.697616397420404,Global
71,0.0,1.5,0.0,0.0,0.5,4.4,0.0,0.0,0.0,1.25,15.074979733667488,Global
72,0.0,1.5,0.0,0.0,1.0,2.6,0.25,0.0,0.0,0.0,7.582885115600116,Global
73,0.0,1.5,0.0,0.0,0.75,5.0,0.0,0.0,0.0,1.75,14.880626537797623,What they knew
74,0.0,2.5,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,13.003338393293152,What they knew
75,0.0,1.5,0.0,0.25,0.75,4.4,0.0,0.0,0.0,1.0,18.483608205495102,Global
76,0.0,1.5,0.0,0.25,0.75,4.4,0.0,0.0,0.0,0.75,19.000831113108028,Global
77,0.0,1.5,0.0,0.25,0.75,4.6,0.0,0.0,0.0,0.5,18.704375602674418,Global
78,0.0,2.75,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.75,18.439606431662117,Global
79,0.0,2.75,0.0,0.0,1.0,3.8000000000000003,0.0,0.0,0.0,0.75,18.134298771835336,Global
80,0.0,2.5,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,13.597324988303107,Global
81,0.0,1.25,0.0,1.25,0.75,3.6,0.0,0.0,0.0,0.75,22.842514614752798,Global
82,0.0,1.25,0.0,1.0,0.75,4.0,0.0,0.0,0.0,0.5,24.13071381362417,Global
83,0.0,1.25,0.0,1.0,0.75,4.2,0.0,0.0,0.0,0.5,24.258304456722982,Global
84,0.0,2.5,0.0,1.0,1.0,3.6,0.0,0.0,0.0,0.0,13.162370934171559,Global
85,0.0,2.0,0.0,0.25,0.75,3.0,0.25,0.0,0.0,0.0,11.697915672070653,Global
86,0.0,2.25,0.0,0.5,0.25,3.2,0.25,0.0,0.0,0.0,10.596352835660245,Global
87,0.0,1.25,0.0,1.0,0.75,4.2,0.0,0.0,0.0,0.25,22.829788645551947,Global
88,0.0,2.5,0.0,1.0,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,10.397540493829336,Global
89,0.0,1.25,0.0,0.0,0.75,5.0,0.0,0.0,0.0,1.25,15.285707012875253,What they knew
90,0.0,2.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,1.0,17.899200845700673,What they knew
91,0.0,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.1292674350185985,Global
92,0.0,0.25,0.0,1.75,0.25,2.6,0.25,0.0,0.0,0.75,4.619038252996257,Global
93,0.0,0.5,0.0,0.0,0.5,2.2,0.0,0.25,0.0,2.75,1.4031697241621244,Global
94,0.0,2.5,0.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,9.818840206359422,Global
95,0.0,1.5,0.0,0.75,0.75,1.4,0.0,0.0,0.0,0.5,7.260972326054927,Global
96,0.25,1.0,0.0,0.0,1.25,5.0,0.25,0.0,0.0,0.25,4.524604918242048,What they knew
97,0.25,2.25,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.25,6.411460846887334,What they knew
98,0.0,2.5,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.5,16.078153902243535,Global
99,0.0,0.5,0.0,1.0,0.5,1.4,0.5,0.25,0.0,0.75,0.6841348699010589,Global
100,0.0,0.75,0.0,0.0,1.75,1.2,0.0,0.0,0.0,0.75,3.0079983501315684,Global
101,0.25,0.75,0.0,0.5,1.25,4.2,0.0,0.0,0.0,1.0,3.895935236336759,Global
102,0.0,0.75,0.0,2.5,0.25,2.0,0.25,0.0,0.0,0.0,3.112895770759566,Global
103,0.25,3.5,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,5.539759323895918,What they knew
104,0.0,1.5,0.0,0.0,0.25,5.0,0.5,0.0,0.0,0.5,10.278690441563807,What they knew
105,0.0,2.5,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,11.973671222009997,Global
106,0.0,1.75,0.0,0.25,1.25,3.4000000000000004,0.0,0.25,0.25,0.25,2.4508504718643445,Global
107,0.0,1.0,0.0,0.75,0.75,1.2,0.0,0.0,0.25,0.5,4.928659411619409,Global
108,0.25,1.0,0.0,1.25,0.0,1.4,0.5,0.0,0.25,0.75,0.9950303803044417,Global
109,0.25,1.5,0.25,0.25,0.25,2.0,0.0,0.0,0.0,0.5,0.7046149992160893,Global
