,Good,Good_Poor,Good_Weak,Poor,Weak,Weak_Poor
0,1848.0471683877597,11279888.187695246,91459.08920949925,11279888.187695246,91459.08920949925,11279888.187695246
1,1848.0471683877597,1848.0471683877597,1848.0471683877597,2081106.320812316,91459.08920949925,91459.08920949925
2,1848.0471683877597,1848.0471683877597,1848.0471683877597,2081106.320812316,91459.08920949925,91459.08920949925
3,1848.0471683877597,1848.0471683877597,1848.0471683877597,2081106.320812316,91459.08920949925,91459.08920949925
4,1848.0471683877597,1848.0471683877597,1848.0471683877597,1860635.9272842235,91459.08920949925,91459.08920949925
5,1848.0471683877597,1848.0471683877597,1848.0471683877597,1860635.9272842235,81528.81785639557,81528.81785639557
6,1848.0471683877597,1848.0471683877597,1848.0471683877597,1860635.9272842235,81528.81785639557,81528.81785639557
7,1792.0827643257874,1792.0827643257874,1848.0471683877597,1860635.9272842235,81528.81785639557,59840.11655898426
8,1791.9615609761745,1791.9615609761745,1323.3690525707432,1860635.9272842235,81528.81785639557,59840.11655898426
9,1789.892539638741,1789.892539638741,1282.374307240038,1860581.2839556225,81528.81785639557,59840.11655898426
10,1789.4416739838014,1789.4416739838014,1282.200508808835,1860186.396292557,72177.84539296817,59840.11655898426
11,1789.3522172089044,1789.3522172089044,1277.4030542252233,1837088.513610238,72177.84539296817,59840.11655898426
12,1215.6847202964314,1215.6847202964314,1275.851510404748,1707191.562292186,72177.84539296817,48241.60702744982
13,1077.8908782341473,1077.8908782341473,1275.851510404748,1546276.9586013383,59354.87905917554,48241.60702744982
14,934.0502388918866,934.0502388918866,1099.087257044558,1426703.9979773662,55577.95097734574,48241.60702744982
15,866.8411558950668,866.8411558950668,1099.087257044558,1315017.4895525568,43477.70340754956,48241.60702744982
16,832.3259674196635,832.3259674196635,742.944432961344,1216634.3860412345,40074.2430904727,48241.60702744982
17,813.6648296420573,813.6648296420573,726.7345456603018,1123259.9888360193,39671.67296313182,48241.60702744982
18,799.4523548532242,799.4523548532242,668.4039734971872,1018254.1533838118,37488.70717386192,48241.60702744982
19,796.6027559368093,796.6027559368093,622.4707032141397,899059.7695362049,36971.04506701045,47580.922628937056
20,794.9477546167815,794.9477546167815,576.6779470171905,856344.405905056,32250.89925404202,47209.32734869728
21,773.7447389246937,773.7447389246937,550.8569962112776,850775.1059837237,31536.336924396765,47209.32734869728
22,717.7253499738379,717.7253499738379,539.2163098664653,845505.6176970254,31125.72347349656,46560.020965087904
23,700.1608669127447,700.1608669127447,532.3472958639875,742292.3184156255,29660.57139490129,45945.55508424606
