,Good,Good_Poor,Good_Weak,Poor,Weak,Weak_Poor
0,2507.769840420045,10571430.533038365,75962.61148873097,10571430.533038365,75962.61148873097,10571430.533038365
1,2507.769840420045,2507.769840420045,2507.769840420045,2584447.24218478,75962.61148873097,75962.61148873097
2,2507.769840420045,2507.769840420045,2507.769840420045,2584447.24218478,75962.61148873097,75962.61148873097
3,2507.769840420045,2507.769840420045,2507.769840420045,2090853.3410290736,75962.61148873097,75962.61148873097
4,2507.769840420045,2507.769840420045,2507.769840420045,1786705.8478766466,75962.61148873097,75962.61148873097
5,2507.769840420045,2507.769840420045,2507.769840420045,1786705.8478766466,75962.61148873097,75962.61148873097
6,2507.769840420045,2507.769840420045,2507.769840420045,1786705.8478766466,75962.61148873097,75962.61148873097
7,2507.769840420045,2507.769840420045,2507.769840420045,1786705.8478766466,59840.11655898426,59840.11655898426
8,2507.769840420045,2507.769840420045,2460.337794162031,1786705.8478766466,59840.11655898426,59840.11655898426
9,2507.769840420045,2507.769840420045,2052.208623881783,1786705.8478766466,59840.11655898426,59840.11655898426
10,2507.769840420045,2507.769840420045,2052.208623881783,1786705.8478766466,59022.69467108519,59723.72344154387
11,2507.769840420045,2507.769840420045,2052.208623881783,1786705.8478766466,58018.11869214171,55863.68091876032
12,1398.3050338761418,1398.3050338761418,1224.7219283961035,1786705.8478766466,56733.11032197436,55863.68016358415
13,1398.3050338761418,1398.3050338761418,1224.7219283961035,1786705.8478766466,56372.3840355108,55863.68016358415
14,1398.3050338761418,1398.3050338761418,1224.7219283961035,1786705.7474119817,56350.50904878807,55863.58973940483
15,1021.7237122655936,1021.7237122655936,1224.7219283961035,1786703.7097003371,56292.25107451573,49387.61125851848
16,1021.7237122655936,1021.7237122655936,1224.7219283961035,1786703.7097003371,55530.7063474477,49387.61125851848
17,1021.7237122655936,1021.7237122655936,1224.7219283961035,1786700.761841531,49485.54821074296,48376.85486788787
18,1021.7237122655936,1021.7237122655936,1224.7219283961035,1786697.7233306812,43754.626973832,48376.85486788787
19,973.9524692851338,973.9524692851338,1224.7219283961035,1786685.6178644353,37570.28283061853,48259.03158390234
20,973.9524692851338,973.9524692851338,1224.7219283961035,1786614.644669292,33152.077076650385,46100.70440195111
21,896.5174263516587,896.5174263516587,345.5633929538382,1784924.211917207,29974.78787986237,44884.0391587678
22,896.5174263516587,896.5174263516587,345.5633929538382,1661620.0252243278,27771.239654704,38390.142497337816
23,896.4886280461824,896.4886280461824,345.5633929538382,1569930.267189926,26421.817286287893,34475.88870346332
24,896.4399563800499,896.4399563800499,345.5633929538382,1443217.8044285343,24967.43751944178,31845.772123967323
25,896.3800247676756,896.3800247676756,345.5633929538382,1358562.2768989909,24268.41939733468,30212.81716078219
26,896.1664894707674,896.1664894707674,345.5633929538382,1284595.5973439307,23966.16648885937,29116.086333441686
27,895.9794630706684,895.9794630706684,345.5633929538382,1221190.2180268615,23966.16648885937,27551.612220475094
28,892.6500974767438,892.6500974767438,345.5633929538382,1144184.3234955587,23143.02520266252,26165.673127541733
29,885.8074751750772,885.8074751750772,345.5633929538382,1019341.9728222612,22583.05503532875,23998.64660420892
30,885.8074751750772,885.8074751750772,345.5633929538382,975172.597786388,22513.673603770967,22416.804538465654
31,885.8074751750772,885.8074751750772,345.5633929538382,960547.7283725872,22513.673603770967,20217.59680662168
32,884.3942715340287,884.3942715340287,345.5633929538382,959050.9177511462,22513.673603770967,17517.0595402677
33,884.3942715340287,884.3942715340287,345.5633929538382,936460.6317870234,21726.093368575144,15446.951465180971
34,884.3942715340287,884.3942715340287,345.5633929538382,845344.0380987999,15781.32277986682,14268.906682284482
35,865.1252183216012,865.1252183216012,345.5633929538382,845344.0380987999,13403.846609996956,13441.31771560516
36,851.638442454652,851.638442454652,345.5633929538382,811274.7623737132,11473.318558099236,12746.599837503636
37,851.638442454652,851.638442454652,345.5633929538382,719507.2519521639,10264.76437706195,12492.5113094981
38,850.0802521989252,850.0802521989252,248.78331560288055,657388.0206396346,9490.46490331833,12325.60180026372
39,848.7963463929444,848.7963463929444,236.69444001035225,599905.4080368582,9360.641477177807,12279.570568269462
40,848.7963463929444,848.7963463929444,215.0205096512396,552078.8927548883,9227.329708150137,11440.27100132844
41,844.3059322376412,844.3059322376412,212.89345277464483,514624.706692011,9210.595858272314,10882.290982918335
42,435.303406558554,435.303406558554,212.89345277464483,513744.82830226986,9123.400000000003,10581.675037576497
43,398.3116326171348,398.3116326171348,191.1987884515649,501256.1662586287,9123.400000000003,10427.943164645856
44,398.3116326171348,398.3116326171348,189.3062455923921,489830.96399996977,9123.400000000003,9900.042873461589
45,301.65452469458967,301.65452469458967,187.87563644855555,480415.8118511266,9123.400000000003,9737.56601516991
46,224.13441641904183,224.13441641904183,171.73672023775117,453850.417720008,9123.400000000003,9509.827815686293
47,221.6903614399396,221.6903614399396,140.63863745132022,447328.14487011527,9123.400000000003,9384.322835013996
48,219.30278372150084,219.30278372150084,122.94676032241324,442165.3211052661,9123.400000000003,9384.322835013996
49,217.82907702462097,217.82907702462097,118.46983788898636,420770.2789506482,9123.400000000003,9323.45144112562
50,190.84467862378597,190.84467862378597,117.53534867556054,420770.2789506482,9123.400000000003,9263.778273739124
51,190.84467862378597,190.84467862378597,117.53534867556054,390563.9235868864,9123.400000000003,9209.786754158844
52,184.9003918499792,184.9003918499792,117.373569104844,357233.9389251462,9123.400000000003,9156.625254508152
53,172.67047076102494,172.67047076102494,114.03063636855904,331010.65452178475,9123.400000000003,9123.400000000003
54,166.59155723691697,166.59155723691697,107.24525827600874,310465.43464984285,9123.400000000003,9123.400000000003
55,126.10469635088016,126.10469635088016,105.92181887787903,308000.5834315377,9123.400000000003,9123.400000000003
56,126.10469635088016,126.10469635088016,101.06885626284335,305228.2181849757,9123.400000000003,9123.400000000003
57,106.49504189373764,106.49504189373764,92.84714783289756,305228.2181849757,9123.400000000003,9123.400000000003
58,93.68981399616388,93.68981399616388,64.53304640363993,287397.6705322102,9123.400000000003,9123.400000000003
59,93.68981399616388,93.68981399616388,54.06224988122398,278819.3823188345,9123.400000000003,9123.400000000003
60,90.00251682227707,90.00251682227707,53.19291075672941,277107.3162806476,9123.400000000003,9123.400000000003
61,83.80477528933675,83.80477528933675,50.46559434551758,275751.0428382485,9123.400000000003,9123.400000000003
62,83.80477528933675,83.80477528933675,46.884645001509725,275751.0428382485,9123.400000000003,9123.400000000003
63,81.05836989982109,81.05836989982109,46.27197346972544,275751.0428382485,9123.400000000003,9123.400000000003
64,80.80542650619093,80.80542650619093,42.48985006668602,267622.1489405473,9123.400000000003,9123.400000000003
65,80.20043498230925,80.20043498230925,41.83710195064866,255763.06588100968,9123.400000000003,9123.400000000003
66,80.20043498230925,80.20043498230925,34.381223366827896,252709.9349821125,9123.400000000003,9123.400000000003
67,79.95139465768304,79.95139465768304,33.49533246713931,238420.58521361157,8515.13052039335,9123.400000000003
