,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.5,0.25,0.25,0.75,0.5,4.0,0.0,0.25,0.25,1.25,0.12077088118543074
1,0.75,1.0,0.5,0.0,0.0,4.6,0.25,0.75,0.25,0.0,0.005878875227104719
2,0.25,0.0,0.0,0.5,0.0,4.6,0.25,1.0,0.5,0.0,0.08820628121048697
3,0.0,0.0,0.75,0.75,1.0,2.6,0.0,0.75,0.0,0.75,0.0027140973391657636
4,0.75,0.25,0.0,0.0,0.25,1.0,0.0,0.25,0.0,0.0,0.0807102342586403
5,1.5,0.25,0.75,0.0,1.5,2.8,0.0,0.0,0.0,0.0,0.0032581436390895606
6,0.0,0.75,0.5,0.25,0.75,3.2,0.25,0.0,0.5,0.5,0.11589169654469494
7,0.25,1.5,0.75,0.5,0.75,2.8,0.25,0.0,0.0,0.0,0.03613644577791357
8,0.5,0.0,0.75,0.0,0.5,1.8,0.0,1.25,0.75,0.0,0.0005668078064952857
9,0.5,0.25,0.5,0.25,0.0,2.4000000000000004,0.5,0.0,0.25,1.75,0.03485729525591537
10,1.0,0.0,1.5,0.25,0.0,3.6,0.25,0.0,0.0,0.5,0.0035877301366615388
11,0.0,0.25,0.0,1.5,0.0,1.0,0.0,0.0,0.5,1.25,0.6246024993571574
12,0.75,1.0,1.0,0.25,0.0,2.8,0.25,0.75,0.25,0.0,0.0011015271374206143
13,0.0,0.0,0.25,0.25,0.25,3.4000000000000004,0.0,2.75,0.5,0.25,2.3409521724564506e-06
14,0.75,0.0,1.25,0.0,0.5,1.4,0.25,0.25,0.5,0.0,0.0058254748254666176
15,0.5,0.75,1.25,0.0,0.25,2.8,0.0,0.0,0.75,0.0,0.005433708499068325
16,0.0,0.75,1.0,0.25,0.25,3.6,0.0,0.0,1.0,0.0,0.006476506275238446
17,0.5,0.0,0.5,0.0,0.0,1.6,0.0,0.0,1.0,1.5,0.005625241731134224
18,0.0,1.0,0.25,0.0,0.0,2.4000000000000004,0.0,0.5,0.5,1.25,0.02704170131984051
19,0.0,0.25,0.0,1.5,0.0,1.0,1.0,0.75,0.5,0.25,0.02180068743847056
20,0.0,0.25,0.75,0.0,0.25,3.6,0.25,1.0,0.25,1.0,0.0018197823970435335
21,0.5,1.25,0.0,0.0,0.0,2.4000000000000004,1.0,0.25,0.0,0.0,0.32032144899371606
22,0.5,0.0,0.25,0.0,0.5,4.800000000000001,0.75,0.5,0.0,1.0,0.019160261876313266
