,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.75,0.25,0.5,0.75,0.0,1.2,0.25,0.5,0.25,0.25,0.022101727014578427
1,1.75,0.0,0.0,0.0,0.0,4.2,0.0,0.5,0.75,0.5,0.0015190843231772907
2,1.5,0.5,0.5,0.5,0.5,3.8000000000000003,0.25,0.25,0.0,0.0,0.009660591595109798
3,0.0,0.75,0.0,0.5,0.75,1.6,0.25,0.25,0.5,0.25,0.6372686169575362
4,0.25,0.0,0.0,0.25,0.25,2.6,1.25,0.75,0.75,0.0,0.02236982860068708
5,1.0,0.0,0.0,0.0,0.25,3.4000000000000004,0.0,0.5,0.0,1.75,0.012389237098065723
6,1.25,0.25,0.75,0.25,0.0,3.8000000000000003,0.0,0.0,1.0,0.25,0.0006655990684592315
7,0.0,2.0,0.0,0.25,0.0,3.4000000000000004,0.25,0.5,0.75,0.0,0.0333433796420009
8,0.0,0.0,1.0,1.0,0.0,2.4000000000000004,0.75,0.0,0.25,0.5,0.01657196371169482
9,0.5,0.25,0.0,1.25,0.5,2.6,0.0,0.75,0.25,0.0,0.22475731666781684
10,0.5,0.5,0.0,0.25,0.25,4.800000000000001,0.75,0.25,0.0,1.75,0.25596408511243873
11,0.25,0.0,0.5,0.5,0.0,3.0,0.25,0.5,0.5,0.0,0.017372601054835613
12,0.0,1.75,0.0,0.0,1.25,3.6,0.0,0.0,0.25,0.5,10.221096571986614
13,1.25,0.0,0.75,0.0,0.5,3.6,0.0,0.0,1.0,0.0,0.0006424274248644133
14,1.0,0.5,0.25,0.25,0.0,1.2,0.0,0.25,1.5,0.0,0.004341245111337289
15,1.0,0.0,0.0,0.0,0.25,4.6,0.5,0.0,1.0,0.5,0.22865204229590652
16,0.25,0.0,0.5,0.0,0.5,2.6,1.25,0.5,0.25,0.5,0.012541961566550618
17,0.0,0.25,0.25,1.25,0.25,2.2,0.25,0.75,0.0,0.25,0.029671440126861633
18,0.0,0.0,0.5,0.0,0.0,3.2,0.5,0.0,2.5,0.0,0.00021120987845275725
19,0.0,0.5,0.25,1.25,0.25,4.2,0.5,0.75,0.5,0.0,0.11623781013589866
20,0.25,0.25,0.25,0.5,0.25,1.0,0.0,0.25,0.0,0.0,0.1401149310742269
21,0.75,0.0,0.75,0.75,0.25,3.4000000000000004,0.25,0.75,0.0,0.0,0.0069255394236009795
22,1.0,0.0,1.25,0.0,0.75,4.6,0.0,0.0,0.75,0.25,0.010678085907218832
23,0.0,0.5,0.5,0.75,0.25,4.4,0.75,0.25,0.0,0.25,0.12703762836846977
24,0.0,0.25,0.0,1.0,1.75,4.800000000000001,0.0,0.25,0.0,0.75,0.5282128425630548
25,0.25,0.5,0.0,0.5,0.25,3.2,0.0,1.0,0.0,0.75,0.05576972249168559
26,0.0,0.25,0.0,0.25,0.0,3.6,0.5,0.0,0.5,2.0,0.998873798661338
27,0.25,1.0,0.25,0.0,0.5,3.6,0.0,0.75,0.0,0.25,0.043396490336531826
28,0.25,0.0,0.0,1.5,0.25,1.2,0.25,0.25,0.5,0.0,0.13753142658011663
29,0.5,0.5,0.0,0.5,0.5,2.8,0.5,1.0,0.25,0.25,0.06087268123328786
30,1.0,0.75,0.5,0.0,0.0,3.4000000000000004,0.0,0.0,0.0,1.25,0.06615942166792885
