,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
59,0.25,0.0,0.0,0.5,0.25,4.4,1.0,1.0,1.0,0.0,0.009856195556787658
60,0.25,0.25,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.75,2.77426968619495
61,0.0,0.25,0.5,0.75,0.75,2.4000000000000004,0.5,0.0,0.0,0.5,0.14006343390368164
62,0.0,0.0,0.0,1.75,0.0,3.0,0.25,0.0,0.0,1.75,1.9315173956650744
63,1.75,0.0,0.5,0.25,0.0,1.0,0.25,0.0,0.0,0.25,0.03361662899700571
64,0.0,0.0,0.0,0.0,0.75,1.4,1.0,1.5,0.0,0.5,0.0002753736811416993
65,0.5,1.25,0.0,0.25,0.0,3.0,0.75,0.25,0.5,0.0,0.2719534604890569
66,0.5,0.0,0.0,0.0,0.5,1.2,0.25,0.0,0.0,0.5,0.21955104994158064
67,0.0,0.5,0.0,0.0,0.25,3.8000000000000003,0.75,1.0,1.5,0.0,0.0018663605706405334
68,0.75,0.0,0.0,0.75,0.0,3.2,0.25,0.25,0.5,0.0,0.09839614991481901
69,1.25,0.25,0.0,1.5,0.0,4.2,0.5,0.0,0.0,0.25,0.009811976368707523
70,0.25,0.0,0.25,0.0,0.5,2.8,0.0,0.0,1.25,1.25,0.04017135404219979
71,0.25,0.25,0.25,1.25,0.0,4.800000000000001,0.75,0.25,0.25,0.5,0.17538179965409673
72,0.0,0.0,0.25,0.25,0.25,1.4,1.25,1.5,0.5,0.0,7.595607834751468e-05
73,0.0,0.75,0.0,0.0,0.25,3.6,0.25,0.25,0.25,0.0,1.2321951461682419
74,0.5,0.0,1.25,0.0,0.0,3.8000000000000003,0.0,0.5,1.0,0.25,0.0005794371816292238
75,0.25,1.0,0.0,0.0,1.0,2.6,1.5,0.0,0.0,0.0,0.7712579885478212
