,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,1.5,0.5,0.5,0.0,1.6,0.5,0.25,0.0,0.25,0.0359239144298741
1,0.0,0.25,0.5,2.0,0.0,2.0,0.0,0.0,0.25,0.5,0.07759109718188283
2,0.75,1.25,0.0,0.25,0.25,2.8,0.5,0.25,0.5,0.0,0.21112269282424237
3,0.25,0.75,0.0,0.25,0.5,2.2,0.0,0.5,0.5,1.0,0.19044759068837308
4,0.75,0.25,0.25,0.25,0.75,1.6,0.0,0.0,1.0,0.75,0.044212107785618744
5,1.75,0.0,0.75,0.25,0.0,3.0,0.5,0.0,0.0,0.75,0.0035044125020198946
6,0.0,1.0,0.25,0.25,0.25,1.2,0.25,0.25,0.25,1.0,0.23490448680459422
7,1.25,0.25,0.75,0.5,0.0,3.4000000000000004,0.75,0.0,0.25,0.25,0.007531210218801614
8,0.25,0.0,0.0,0.25,0.0,1.4,0.0,1.25,0.75,0.25,0.003425801164583522
9,0.0,0.25,1.75,0.25,0.75,2.6,0.25,0.25,0.0,0.25,0.0006593673902752322
10,1.5,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.0,0.75,0.00026384064417973944
11,0.25,0.0,0.25,0.25,0.25,3.8000000000000003,1.75,0.25,0.5,0.0,0.04446078304959304
12,0.0,1.0,1.0,0.0,0.5,2.6,0.75,0.75,0.25,0.0,0.0041117825389134725
13,1.0,0.5,1.0,0.25,0.0,1.0,0.25,0.0,0.25,0.25,0.010544007553410839
14,0.25,0.25,0.75,1.0,0.0,4.0,0.0,0.25,0.25,0.0,0.029065151342788503
15,0.5,0.5,0.25,0.5,0.75,3.0,0.0,0.25,1.0,0.0,0.04374742850942839
16,1.0,1.25,0.0,0.0,0.0,4.0,0.75,0.0,0.25,0.0,0.08097111665234093
17,1.0,0.5,0.0,0.25,0.5,4.800000000000001,0.0,0.25,0.75,0.0,0.06051998134192661
