x1,x2,x3,x4,x5,target,model_name,level,iteration
0.7805183,-0.94509554,0.806275,0.07726085,0.46244287,-3.9716558,Good,Local,1
-7.209604,-8.090112,-7.1183968,-7.867166,-6.742281,-16.552185,Weak,Local,2
-32.273197,-31.789833,-31.612263,-30.89087,-31.335505,-21.758442,Poor,Local,3
16.883812,-4.870859,24.072746,-31.403639,20.283672,-21.143814,Global,Global,4
3.4234047,21.746399,22.395302,19.734459,-12.550821,-21.53838,Global,Global,5
0.80484056,0.8958961,0.5831859,0.20075893,-0.92702365,-4.1065187,Good,Local,6
0.7763722,-0.4177542,0.7280631,0.067184284,0.38568264,-3.8950777,Good,Local,7
0.7724465,-0.15214224,0.66604656,0.034672964,0.34358782,-3.4364977,Good,Local,8
0.770233,0.13130288,0.62925416,0.019513473,0.31216633,-3.3554678,Good,Local,9
0.7728488,-1.0,0.68913734,0.008344494,0.40916976,-4.0202665,Good,Local,10
0.7692627,-0.028964967,0.613846,0.08024798,0.41983324,-3.4767714,Good,Local,11
1.844879,6.190105,-0.6276071,0.24604502,4.6388893,-11.997015,Global,Global,12
-6.396934,0.14872561,-4.0295806,0.07255711,14.515302,-16.945557,Global,Global,13
-4.282318,8.93303,-1.469177,-5.022251,0.17626765,-14.113975,Global,Global,14
-9.218318,0.48587248,4.147601,-17.091505,1.1440291,-18.057741,Global,Global,15
3.4973013,0.29444474,-13.538173,-1.5216565,1.0507118,-16.422634,Global,Global,16
0.7725242,0.2086142,0.6537542,-0.0443883,0.52666926,-3.7285967,Good,Local,17
0.7692855,-0.005469284,0.62658954,0.034284506,0.041601982,-2.8148623,Good,Local,18
0.7657441,-0.03490494,0.5827883,0.0391457,-0.11495699,-2.9109545,Good,Local,19
0.7761747,0.009124775,0.7062091,0.18121293,-0.04000895,-2.959546,Good,Local,20
15.638503,1.0107957,1.0276111,2.3464093,-0.07737377,-16.493645,Global,Global,21
-0.41300374,3.774356,-3.0520604,-1.4759383,-6.463983,-12.427546,Global,Global,22
1.3737059,9.211035,1.0887253,-0.55011433,-0.027429901,-12.996351,Global,Global,23
-1.6769805,0.53283703,-0.27361146,6.811572,-0.11581751,-11.149621,Global,Global,24
3.3773324,0.12645672,2.967192,-2.4918387,-7.2941837,-12.775787,Global,Global,25
0.77977246,-0.036731064,0.43992102,-0.02525925,0.015075249,-2.702756,Good,Local,26
0.7575446,-0.03684932,0.15964882,0.05939888,0.038329385,-2.0651712,Good,Local,27
0.74587995,-0.061087113,-0.03998319,0.19558568,0.064279824,-2.1932077,Good,Local,28
0.75136775,0.58752203,0.12698172,0.139943,0.06647785,-3.0631685,Good,Local,29
21.97866,28.217995,-0.7154045,8.852847,-3.4390278,-20.84964,Global,Global,30
-0.113958195,8.572909,-6.6683745,-10.530659,6.4837713,-17.536324,Global,Global,31
-0.12016011,-0.3271884,-2.4421015,-1.4177771,-1.6295917,-7.161498,Global,Global,32
0.3992556,-0.3189078,-0.2920387,-0.6167029,-21.693773,-19.25211,Global,Global,33
2.36509,-0.55726284,-2.2854853,-0.75925076,0.0020944602,-7.131624,Global,Global,34
0.74822277,-0.053336356,-0.0069030127,-0.16123968,0.07429143,-2.0947943,Good,Local,35
0.76677465,-0.040805448,-0.0750086,-0.13550963,0.062304005,-2.0430288,Good,Local,36
0.759345,0.022728734,-0.11394353,-0.1394308,-0.019641152,-2.0797014,Good,Local,37
0.7617282,-0.011665427,-0.08130585,0.08059169,0.07030653,-1.9502172,Good,Local,38
0.7702397,-0.049695108,-0.13763374,0.7717333,0.033887733,-2.8283243,Good,Local,39
0.7604339,0.06749842,-0.19956933,-0.016365172,0.107346825,-2.2478704,Good,Local,40
-0.6705114,-0.2768848,-0.08626104,-2.3523412,-2.4124184,-7.245508,Global,Global,41
-2.9471383,-0.52688277,-0.41819403,-2.0472062,-0.1457552,-7.15403,Global,Global,42
0.9611293,-0.40696123,-0.26050818,-4.2809153,-0.26292428,-8.291356,Global,Global,43
-1.3989328,0.66496396,5.5866933,1.3088136,0.25096744,-10.368357,Global,Global,44
0.73786265,-0.5961222,-0.32742682,-0.25954616,-0.70973814,-4.128789,Global,Global,45
0.76380783,-0.24103265,-0.13623014,-0.007707641,0.01254354,-2.3716555,Good,Local,46
