,Poor,Weak,Good,Poor_Good,Poor_Weak,Weak_Good
0,10142229.95786622,63177.22466893809,1695.2536362485591,10142229.95786622,10142229.95786622,63177.22466893809
1,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
2,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
3,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
4,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
5,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
6,1773502.9571138066,63177.22466893809,1695.2536362485591,1695.2536362485591,63177.22466893809,1695.2536362485591
7,1773502.9571138066,63177.22466893809,1582.5417737809655,1582.5417737809655,63177.22466893809,1187.5973662601289
8,1773502.9571138066,63177.22349846934,1582.481435234173,1582.481435234173,63177.22466893809,1187.5973662601289
9,1772172.115451141,63177.22349846934,1581.8304738779163,1581.8304738779163,53910.7488411438,1187.5973662601289
10,1657334.2795525389,55655.79434596456,1581.8304738779163,1581.8304738779163,53910.7488411438,1022.759502853629
11,1457458.2423326955,55369.858666647306,1581.305437838423,1581.305437838423,53897.1921114093,939.2785903276598
12,1222561.612389821,55221.5010334514,1581.305437838423,1581.305437838423,50893.84416753454,873.5847726548778
13,1066504.810569197,54812.51689787183,1581.305437838423,1581.305437838423,50893.84416753454,831.6283165680393
14,947014.9308306203,54248.27913000381,1581.305437838423,1581.305437838423,49198.45478205214,805.4467749574902
15,867302.7271536528,53402.53729431369,1581.305437838423,1581.305437838423,48968.48017049884,789.5653102443291
16,849221.171688656,53053.70829640211,855.6919188117143,950.0828907790803,48968.48017049884,777.1168185941966
17,841184.1251087183,52902.54753712512,855.6919188117143,950.0828907790803,48461.27702884419,763.1825420979279
18,780260.1519967701,52902.54753712512,441.71973625452574,426.0061781640479,47355.305258484135,730.2870737721437
19,715720.0165053912,52883.37097807399,441.71973625452574,426.0061781640479,43613.80938128225,668.6137996188675
20,659487.7762923691,52883.37097807399,441.71973625452574,426.0061781640479,43613.80938128225,629.6230333169926
21,543703.8204491264,52187.62772785666,441.71973625452574,426.0061781640479,42118.38315679471,604.6934774504498
22,512981.1532065984,51841.00819667124,441.71973625452574,426.0061781640479,42118.38315679471,596.1029580024102
23,500846.7381933069,51446.38375676236,441.71973625452574,426.0061781640479,40033.901312349655,596.1029580024102
24,499723.44030670245,51137.66098764592,441.71973625452574,426.0061781640479,37842.054012359,579.5232358434217
25,486446.5222075554,50527.05005410694,441.71973625452574,426.0061781640479,35771.82904657895,536.3437305532726
26,476552.6567430738,50463.44103716764,441.71973625452574,426.0061781640479,35536.51659058056,508.0311116311475
27,446798.816938345,50463.44103716764,441.71973625452574,426.0061781640479,35170.05547639784,477.9219845476657
28,436622.8071046791,50302.26559607967,441.71973625452574,426.0061781640479,35170.05547639784,453.5262375494741
29,388332.3925498608,50302.26559607967,345.564688698984,376.28074777342806,35002.26937766106,435.9314803028721
30,340575.7789095934,48108.60723370232,340.8177827663005,371.0974149153031,34634.18358783612,435.1108484660068
31,324068.1717529495,47435.37581595956,337.1038996210774,321.9755210985242,32289.024410668677,428.79942317124267
32,324068.1717529495,46785.82308348888,320.9611034594335,311.44190544831207,30571.367933892103,405.8017271981137
33,299080.3286692433,46213.9857938507,239.56074734132076,293.5642973423745,29450.23011766221,400.2922733242501
34,279588.65240146714,45890.48146785243,187.5653316486544,283.72193249791013,27763.49769563714,400.0075041971971
35,278022.54656342685,45766.315160798535,162.374441609171,233.87331286596745,24862.33283449884,396.6696473292013
36,271779.7922468742,45766.315160798535,153.72265248327835,210.70960755872537,24668.166972371502,396.6696473292013
37,263263.3642574471,45766.315160798535,149.80949622201,196.04777072872432,24526.058747427727,377.3504062670541
