,x0,x1,Target,Hypothesis
0,-3.373141194416368,-3.1829186743581364,-21.509052805046437,Poor
1,-1.2771411944163675,-1.086918674358136,-2.8124818351437133,Weak
2,3.8239170845881985,4.797856387286344,-37.641767782829874,Global
3,3.7805520917905406,0.3159622815293339,-14.392406282091054,Global
4,-2.7368619215125434,-5.003276244199118,-32.52318635319257,Global
5,-3.024,-3.024,-18.289152,Weak
6,-5.12,-5.12,-52.4288,Poor
7,-2.5486676600128204,-1.3960788953927135,-8.444743123356165,Weak
8,-1.445644258898354,-1.0858739892002585,-3.269009643707454,Weak
9,-1.2501447549622393,-1.2778261374801805,-3.1957015459871148,Weak
10,-1.024,-1.024,-2.097152,Weak
11,-1.024,-1.073195396687133,-2.2003243594704527,Weak
12,-1.1231091893237273,-1.040382592833798,-2.3437701906149764,Weak
13,-1.0240000000000002,-1.024,-2.0971520000000003,Weak
14,-1.0611598864822809,-1.1980914334135093,-2.5614833874979244,Weak
15,-1.025511865797774,-1.0247377403591997,-2.1017620234085106,Weak
16,-1.1268876914170332,-1.111803303037624,-2.505982453712581,Weak
17,-1.0240000000000924,-1.0240000000000409,-2.097152000000273,Weak
18,-1.024000000000001,-1.0240000000000002,-2.097152000000002,Weak
19,-1.024000005843537,-1.0240000303294325,-2.0971520740822425,Weak
20,-1.024,-1.0240000000000002,-2.0971520000000003,Weak
21,-0.5134753961774311,-0.47395809992556354,-0.4882932629646203,Global
22,-0.44331692713058923,-0.1068467236943363,-0.20794612024472203,Global
23,-0.1994918994931719,-0.12692710742363814,-0.05590750856232557,Global
24,-0.1278204759764224,0.035010130903946966,-0.01756378334475068,Global
25,0.007725609945890422,-0.029667016962578254,-0.0009398169444939469,Global
26,0.008161286898082614,0.05676309432802278,-0.003288655481524827,Global
27,-1.024000001545648,-1.0240000757424508,-2.097152158286032,Weak
28,-1.0522200533665234,-1.1355892450562923,-2.3967299741941694,Weak
29,-1.024,-1.0240000002686236,-2.097152000550141,Weak
30,-1.0341190476250883,-1.239707483799295,-2.6062768500489986,Weak
31,-1.0573918051044422,-1.1440176129674262,-2.4268537282817184,Weak
32,-1.0247837075859494,-1.2346961446162399,-2.5746562168638114,Weak
33,-1.0518888029214455,-1.1370927456579742,-2.3994499659395023,Weak
34,-1.0240000030438565,-1.024000006151897,-2.097152018832903,Weak
35,-1.0512317140296805,-1.144818725479601,-2.415698030790518,Weak
36,-1.1181804556777917,-1.0598774088656842,-2.3736676532836305,Weak
37,-0.039420605799239165,0.0005960679529308376,-0.0015543394585835195,Global
38,-1.024,-1.0240001254659061,-2.0971522569541916,Weak
39,-1.024000000024197,-1.02400000001438,-2.097152000079006,Weak
40,-1.1099384783511057,-1.0898665350447476,-2.419772489934812,Weak
41,-1.035619998869571,-1.1884697207308574,-2.484969059152692,Weak
42,-1.0426505297224984,-1.1845854323701932,-2.490362773714284,Weak
43,-1.024000043479447,-1.0240001041352162,-2.097152302314843,Weak
44,-1.1066329284718075,-1.0315325189993767,-2.288695776131288,Weak
45,-1.1598633472240112,-1.0406425605979994,-2.428219923161648,Weak
46,-1.060870060743125,-1.1361003228861541,-2.4161692294431454,Weak
47,-1.0273049772141007,-1.1577733373128847,-2.3957946168014788,Weak
48,0.018383052595987884,0.0020023865999956847,-0.00034194617484269917,Global
49,-0.031863645127416594,-0.008242586691926911,-0.00108323211617987,Global
50,-1.210200917683959,-1.0661292888662348,-2.6012179217415197,Weak
51,-1.0664083470287038,-1.104334231466161,-2.356780857400449,Weak
52,-1.024000034521242,-1.024,-2.0971520706995053,Weak
53,-1.1578972237615937,-1.026067734289811,-2.3935409761454323,Weak
54,-1.0620354086746677,-1.0562452719890185,-2.2435732838779243,Weak
55,-1.066787407422551,-1.1361953981777932,-2.428975355475722,Weak
56,-1.1166332571553839,-1.0913243936547505,-2.4378587631713504,Weak
57,-1.024,-1.0240001659390154,-2.097152339843131,Weak
58,-1.1473536695796565,-1.0973938880376175,-2.520693788600222,Weak
59,-1.0240001907569736,-1.0556045964987717,-2.162877454819653,Weak
60,0.002598375900925376,0.006892329970152211,-5.4255769739968144e-05,Global
61,0.037252953152759935,0.011487146130870872,-0.001519737044833708,Global
62,-1.0240002643467734,-1.024000062242885,-2.0971526688556943,Weak
63,-1.0875864489884965,-1.0270017797584026,-2.237576939650334,Weak
64,-1.024000043260213,-1.024,-2.0971520885969177,Weak
65,-1.1402221621898458,-1.1419959402482283,-2.604261306692322,Weak
66,-1.0506102017347017,-1.1990953141362053,-2.5416113683724353,Weak
67,-1.2469701306600673,-1.0785700609352782,-2.7182478831043153,Weak
68,-1.1389049217461866,-1.0365669501676094,-2.3715754629574666,Weak
69,-1.062589018791808,-1.0570592342197689,-2.2464696475062214,Weak
70,-1.0662755902517993,-1.0656827479485405,-2.2726233536419755,Weak
71,-1.1567785131533652,-1.0889883199848718,-2.524032089556784,Weak
72,-0.009222454650936159,0.012859638024967222,-0.0002504239599217569,Global
73,-1.1911481814068776,-1.0277238379176947,-2.475050277093188,Weak
74,-1.0240000216604213,-1.0240001255250888,-2.0971523014359406,Weak
75,-1.0274911920778274,-1.1204242379486733,-2.31108862278038,Weak
76,-1.174380718878843,-1.0286213026053432,-2.4372318570479017,Weak
77,-1.0244479795284958,-1.197571635547488,-2.4836714850279025,Weak
78,-1.135349022235989,-1.119286222385689,-2.5418190499146425,Weak
79,-1.0786665047695352,-1.094631270357843,-2.3617390465569508,Weak
80,-1.0314938688204887,-1.1791685007230488,-2.454417954511702,Weak
81,-1.024,-1.024001035865823,-2.0971541214542784,Weak
82,-1.2619357100717048,-1.027720657750896,-2.648691486722112,Weak
83,-0.008410720478860297,0.039161144011568866,-0.001604335419268356,Global
84,-1.173579492473873,-1.030090451083641,-2.4383751625689323,Weak
85,-1.0861009273242634,-1.0361329702602604,-2.2531867563949746,Weak
