Unnamed: 0,x0,x1,Target,Hypothesis
0,-4.243181537118213,-3.673069644338118,-31.496030169099026,Poor
1,-4.338603116810679,2.866368432538774,-27.03954499625412,Global
2,-0.630689470045251,2.2882834209888383,-5.634010222398341,Global
3,4.894612602845212,0.3941977130028409,-24.112624368867845,Global
4,0.0114735478777641,-4.382196394396042,-19.20377688135857,Global
5,-3.12,-5.12,-35.948800000000006,Poor
6,-4.229228409332816,-3.6513254604378,-31.21855055634908,Poor
7,-0.6411394332992447,2.2984940693176905,-5.694134759619874,Global
8,-0.6475967010769919,2.272994927373246,-5.58588742711031,Global
9,-0.6362766979444516,2.2683735735262944,-5.550366705419545,Global
10,-0.5619430433694055,2.000172637243464,-4.316470562768743,Global
11,-0.4785169736744987,1.6861531983468347,-3.072091102389861,Global
12,-4.2570731675657365,-3.538400232567039,-30.64294815983865,Poor
13,-4.090343140692926,-3.4785058796567934,-28.830910163420548,Poor
14,-0.528351136317589,1.533070842684371,-2.629461131937055,Global
15,-0.4901792285075443,1.3714168988668165,-2.121059986557728,Global
16,-0.3250702279381259,1.1919296910720012,-1.526367041550741,Global
17,-0.2927973246174961,1.0095357492294683,-1.1048927022754675,Global
18,-0.3614557838929034,0.7917874345849575,-0.7575776252762616,Global
19,-3.963425079708168,-3.4410901761632595,-27.549839962946987,Poor
20,-3.927907851175642,-3.3294207034618624,-26.51350230796773,Poor
21,-0.2846087109075073,0.6732815622010198,-0.5343101803242787,Global
22,-0.1987086106358438,0.5117153161314014,-0.3013376767042875,Global
23,-0.2395871053726861,0.3122589293296972,-0.1549076200069914,Global
24,-0.1292142900969926,0.2378892154981433,-0.0732876116155918,Global
25,-0.1311651566449716,0.1230928918027425,-0.0323561583300616,Global
26,-3.8172922516576,-3.301016081149261,-25.46842730257117,Poor
27,-3.767716922835868,-3.197383614855377,-24.418952791169417,Poor
28,-0.051826258316347,0.061916534875477,-0.0065196183420589,Global
29,-0.0563191388736698,-0.0418936879319777,-0.0049269264920136,Global
30,0.007623697590923,-0.0350967588131549,-0.0012899032441466,Global
31,-0.0304104741535169,-0.0054361602773461,-0.0009543487768027,Global
32,0.0072973544140088,-0.0997885282099884,-0.0100110017437593,Global
33,-3.6601416632820425,-3.1536542989624428,-23.34217243265733,Poor
34,-3.5454012991947685,-3.12,-22.30427037233196,Poor
35,-0.020536026299507,-0.0272169141301988,-0.0011624887909446,Global
36,-0.0198914933703032,-0.0147816592445357,-0.0006141689585223,Global
37,0.0078450284418402,0.003483760806541,-7.368106061047343e-05,Global
38,0.0169742641863429,0.0075895872980379,-0.0003457274800223,Global
39,0.0124441438521004,-0.0170592954205181,-0.0004458762764562,Global
40,-3.4263562734316846,-3.1487463212757683,-21.654520708232344,Poor
41,-3.313889447530113,-3.12,-20.71626327045144,Poor
42,0.0043790076201561,0.0263693005390247,-0.0007145157186547,Global
43,-0.0071971334696696,0.0067018875620849,-9.67140270750686e-05,Global
44,0.0587356384309615,-0.0296273314519115,-0.004327653990854,Global
45,-0.0077275665609469,-0.0008853447757303,-6.0499120325778487e-05,Global
46,0.0188591345051071,0.0106944808676596,-0.0004700388753104,Global
47,-3.175890123928644,-3.12,-19.820678079267505,Poor
48,-3.12,-3.12,-19.4688,Poor
49,-0.0122994062618822,0.0013520959382366,-0.000153103557821,Global
50,0.0144355318418532,-0.0012004519885557,-0.0002098256645339,Global
51,0.0021465508012292,0.0185772003625255,-0.0003497200536516,Global
52,-0.0159621252055697,0.0017180973139769,-0.0002577412994585,Global
53,-0.0138316841519925,-0.0040078792493378,-0.0002073785825577,Global
54,-3.12,-3.2002829627610248,-19.976211041738484,Poor
