,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,Target,Hypothesis
0,-8.823738397845451,-8.204572544181165,-8.216938541050585,-8.368325045384632,-9.928220828766293,-8.616484836482233,-9.242638115989184,-8.962978109103839,-8.684097068882373,-9.612299564234103,-9.455367195866833,-8.56278813279767,-8.43399278108198,-8.299344720450009,-8.449510212011274,-9.926671387157828,-9.76661252973421,-8.497438601024598,-9.521563567600781,-9.490387972115707,-548.7392353509018,Poor
1,-2.0237383978454515,-1.4045725441811643,-1.4169385410505841,-1.5683250453846322,-3.1282208287662936,-1.8164848364822324,-2.442638115989184,-2.1629781091038387,-1.8840970688823742,-2.8122995642341033,-2.655367195866832,-1.7627881327976687,-1.6339927810819792,-1.4993447204500094,-1.6495102120112748,-3.1266713871578284,-2.96661252973421,-1.6974386010245983,-2.721563567600781,-2.6903879721157065,-109.1360304940987,Weak
2,1.762616021545485,7.954274558188359,7.830614589494161,6.31674954615368,-9.282208287662934,3.8351516351776773,-2.4263811598918377,0.370218908961613,3.15902931117626,-6.122995642341033,-4.553671958668321,4.372118672023316,5.660072189180209,7.006552795499907,5.504897879887254,-9.266713871578284,-7.666125297342097,5.025613989754019,-5.21563567600781,-4.903879721157065,-227.87631363483115,Global
3,7.152510623395251,8.995580522286055,1.2337371602231588,-6.424389603000469,5.405038662768005,-0.1523792077090107,2.6250613112709065,6.789958458274118,-0.7792120741513848,-0.0411985338538976,3.5882223510650153,3.015718282466601,-4.624095225112919,-8.653506661219645,5.428902767171255,-0.380317354007083,-3.4158718453270653,0.21282112350303528,-4.727423426798865,-3.7897689990740524,-145.3795655961767,Global
4,2.5370687543270005,1.148996211445649,-3.62840880840396,-2.1031355828314524,-4.840508282696296,1.644822465704312,-6.7674257911242535,1.9626763953003952,6.516471545120204,-6.872165629781055,4.686010386341062,-1.8271313584235553,5.573758087266603,6.079411352220173,5.721428870537014,1.8457403731162572,3.2897840565120653,2.9313457355121812,-1.487270420718982,0.2713666751548658,-166.2247667600266,Global
5,-2.7919645888762616,-2.442069033334862,-3.0138661776043962,-3.1269840231502792,-1.3042985086124335,-1.675169616333023,-2.3302123165684536,-2.8623665613399005,-1.2391922287751296,-2.3316734697789796,-2.1108921830713374,-3.0491524047761245,-2.640913286586372,-2.675332135419085,-2.9219520636529577,-1.411631207565556,-2.8123616749086944,-3.1383948189738713,-1.228280405835149,-1.320852858735876,-124.07016520772375,Weak
6,-8.0,-10.0,-10.0,-10.0,-8.955372514929813,-10.0,-8.0,-10.0,-9.3081324522644,-9.67095332890307,-10.0,-8.547134819550815,-10.0,-10.0,-10.0,-8.965596724398713,-8.0,-10.0,-8.80439289348541,-8.591671457303567,-1002.4619132092022,Poor
7,-8.737634100262504,-8.314855042503511,-9.165888332873891,-8.424275473045673,-9.101808442979543,-8.942700988767854,-8.733470431099805,-8.735690852907032,-8.595077682947846,-8.948899930921641,-8.558194640661657,-9.67101684264677,-8.727341239857338,-9.606028077732804,-9.292259384645424,-9.830538935226391,-8.221443333912001,-9.867036094713827,-9.932784197603466,-8.163513464921504,-593.3949809670897,Poor
8,-2.2615107709634525,-1.7257801512869326,-1.9115841484180207,-2.051131219145686,-2.563275610678763,-1.772616812614623,-2.4078800172318298,-2.379441191044647,-1.684140917724807,-2.66350929181343,-2.4865120650653783,-2.161180567917279,-1.9457157329805848,-1.863452283786614,-2.04340128042648,-2.5953357242057877,-2.9186963627252003,-2.1436234239498506,-2.2590296348837895,-2.266136382823844,-128.49970539367027,Global
9,-2.010284745261586,-1.3864455901877664,-1.3891460712208976,-1.5411955459828586,-3.1599855722365997,-1.8188908221416575,-2.4446383711296575,-2.1507307361483528,-1.895210217933629,-2.820715826362793,-2.6647461117650177,-1.7403768788283058,-1.6163697597906683,-1.4787804042309822,-1.6272432846203073,-3.1564699769720352,-2.9692279474959338,-1.6722828919526163,-2.747551240358245,-2.7141985315325416,-107.79963244686273,Global
10,-1.8968378803545805,-1.234166344692462,-1.157066355094685,-1.3146452546828233,-3.4254482070458914,-1.8382972282231869,-2.4618798158100095,-2.04745755212131,-1.98660228671297,-2.891623033715731,-2.7418016622760897,-1.552925203995097,-1.467981156122482,-1.3058503473347762,-1.4397542323461807,-3.404642540152837,-2.9901458217016703,-1.461242390795186,-2.964528145387423,-2.9127001118553397,-96.2097507173,Global
11,-1.7878176623301185,-1.089790692283626,-0.9417338864350789,-1.104481753327534,-3.672317289950497,-1.8539731233194192,-2.479668779581976,-1.9482718029780914,-2.06656709535983,-2.9594783338128243,-2.8090720946772576,-1.3780634320629008,-1.326132481820705,-1.1413268871757942,-1.260613291260967,-3.6325384545092687,-3.0064782722534478,-1.26224583041721,-3.1656631530526003,-3.095740583469066,-85.48194960818137,Global
12,-1.6759609606187709,-0.9454477353644435,-0.7365928850706555,-0.9045373045356802,-3.908595857065432,-1.8638505697281986,-2.5005391369735577,-1.8465203788937619,-2.1323195051147854,-3.02851438404924,-2.863986603725147,-1.2095488787690083,-1.1821201109858381,-0.9760888078686127,-1.078806699026186,-3.8445381931218514,-3.01540909802885,-1.0660702517492242,-3.356714793995649,-3.2675064927244946,-76.17540884365958,Global
13,-1.5573018455463778,-0.7999898153503544,-0.5517956057368866,-0.7249679822447075,-4.12421371648974,-1.8615678386017205,-2.528195035069792,-1.738548854679668,-2.168408120907609,-3.1005485867063856,-2.8931232169559697,-1.0532512055950005,-1.0324261805304176,-0.8082788100019673,-0.8900830399576062,-4.024540223329329,-3.008583275910158,-0.8742733047550446,-3.5277767923791408,-3.41671358564375,-69.06424342236534,Global
