,Good,Good_Poor,Good_Weak,Poor,Weak,Weak_Poor
0,1.0722721808768878,46.60619173687563,14.956754758872384,46.60619173687563,14.956754758872384,46.60619173687563
1,1.0722721808768878,1.0722721808768878,1.0722721808768878,28.108971858379093,14.956754758872384,14.956754758872384
2,1.0722721808768878,1.0722721808768878,1.0722721808768878,25.13269881914622,14.956754758872384,14.956754758872384
3,1.0722721808768878,1.0722721808768878,1.0722721808768878,16.558992322282275,14.956754758872384,14.956754758872384
4,1.0722721808768878,1.0722721808768878,1.0722721808768878,12.994100820552196,12.994100820552196,14.956754758872384
5,1.0722721808768878,1.0722721808768878,1.0722721808768878,12.994100820552196,2.0971520000000003,2.0971520000000003
6,1.0722721808768878,1.0722721808768878,1.0722721808768878,12.994100820552196,2.0971520000000003,2.0971520000000003
7,1.0722721808768878,1.0722721808768878,1.0722721808768878,12.994100820552196,2.0971520000000003,2.0971520000000003
8,1.0057494939255027,1.0722721808768878,1.0722721808768878,12.994100820552196,2.0971520000000003,2.0971520000000003
9,1.0057494939255027,0.3879888298805543,1.0722721808768878,12.994100820552196,2.0971520000000003,2.0971520000000003
10,1.0057494939255027,0.3879888298805543,0.3879880463948912,12.994100820552196,2.097152,2.097152
11,0.0096941928329169,0.0068695984093306,0.3879880463948912,12.994100820552196,2.097152,2.097152
12,0.0096941928329169,0.0068695984093306,0.0060432516885423,12.994100820552196,2.097152,2.097152
13,0.0096941928329169,0.0068695984093306,0.0060432516885423,12.762068360006111,2.097152,2.097152
14,0.0096941928329169,0.0068695984093306,0.0060432516885423,11.48624868880662,2.097152,2.097152
15,0.0096941928329169,0.0068695984093306,0.0060432516885423,9.305598070670609,2.097152,2.097152
16,0.0096941928329169,0.0068695984093306,0.0060432516885423,7.50330743061412,2.097152,2.097152
17,0.0096941928329169,0.0068695984093306,0.0060432516885423,5.949841239005086,2.097152,2.097152
18,0.0096941928329169,0.0068695984093306,0.0060432516885423,4.906810048415556,2.097152,2.097152
19,0.0096941928329169,0.0012399320032673,0.0060432516885423,4.906810048415556,0.4596854253510405,0.6884683708423175
20,2.161153433905119e-05,0.0012399320032673,0.0021648227209785,4.021921160728319,0.0389303531938167,0.2167544848838851
21,5.562631581399062e-07,0.0010134616175189,0.0021648227209785,2.79742681109346,0.0389303531938167,0.132159638957067
22,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,1.9408839926524004,0.0389303531938167,0.0098991376798244
23,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,1.5011556721550183,0.0062337232588778,0.0098991376798244
24,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,1.1150860316070306,0.0062337232588778,0.0098991376798244
25,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,0.6453000651743155,0.0062337232588778,0.0039509976306565
26,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,0.3201559357037897,0.0026923435492568,0.0039509976306565
27,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,0.30996753531876,0.001017307327097,0.0002223121727964
28,5.562631581399062e-07,7.762713253052928e-05,2.9351456301976226e-05,0.1583890725906262,0.001017307327097,0.0002223121727964
29,5.562631581399062e-07,7.762713253052928e-05,2.393035618272793e-05,0.0527470756155772,0.0001184237629017,3.385097249263188e-05
30,5.562631581399062e-07,7.762713253052928e-05,2.393035618272793e-05,0.0086821294283895,0.0001184237629017,3.385097249263188e-05
31,5.562631581399062e-07,7.762713253052928e-05,2.393035618272793e-05,0.0028197577392976,0.0001184237629017,3.385097249263188e-05
32,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,0.0028197577392976,0.0001184237629017,8.707332215691934e-06
33,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,0.0028197577392976,3.2510108204720485e-05,8.707332215691934e-06
34,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,0.0012850896611518,3.2510108204720485e-05,8.707332215691934e-06
35,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,0.0012850896611518,3.2510108204720485e-05,8.707332215691934e-06
36,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
37,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
38,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
39,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
40,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
41,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
42,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
43,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
44,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
45,5.562631581399062e-07,5.312613308165104e-05,2.393035618272793e-05,2.7246221759819712e-05,3.2510108204720485e-05,8.707332215691934e-06
