,Poor,Weak,Good,Poor_Good,Poor_Weak,Weak_Good
0,11116905.956068013,88858.1706750633,2958.9054744264954,11116905.956068013,11116905.956068013,88858.1706750633
1,3399561.8265880845,88858.1706750633,2958.9054744264954,2958.9054744264954,88858.1706750633,2958.9054744264954
2,3058947.9543723376,88858.1706750633,2958.9054744264954,2958.9054744264954,88858.1706750633,2958.9054744264954
3,1895426.0249745147,88858.1706750633,2958.9054744264954,2958.9054744264954,88858.1706750633,2958.9054744264954
4,1895426.0249745147,88858.1706750633,2958.9054744264954,2958.9054744264954,88858.1706750633,2958.9054744264954
5,1895426.0249745147,68621.31568214718,2958.9054744264954,2958.9054744264954,68621.31568214718,2958.9054744264954
6,1895426.0249745147,68621.31568214718,2766.6134942656445,2766.6134942656445,68621.31568214718,2958.9054744264954
7,1895426.0249745147,68621.31568214718,2758.6678271009123,2758.6678271009123,68621.31568214718,2892.916167279563
8,1895426.0249745147,68621.31568214718,2594.7795561400726,2594.7795561400726,68621.31568214718,2692.7956892223283
9,1895426.0249745147,68621.31568214718,2594.7795561400726,2594.7795561400726,68621.31568214718,2686.82921018268
10,1895426.0249745147,68621.31568214718,2594.7795561400726,2594.7795561400726,55202.94423586366,2468.3372674276857
11,1895426.0249745147,65764.00301498554,2594.7795561400726,2594.7795561400726,55202.94423586366,2353.7251023870367
12,1895401.8117867748,65764.00301498554,1438.3764043909314,1438.3764043909314,55202.94423586366,2280.005513911492
13,1895296.8751507609,65764.00301498554,1438.3764043909314,1438.3764043909314,55202.94423586366,2206.5839390687543
14,1893411.384718409,36814.584912719445,1438.3764043909314,1438.3764043909314,55202.94423586366,2123.485260986192
15,1802614.6016106736,36814.584912719445,1021.7237122655936,1021.7237122655936,55202.94423586366,2016.372472287592
16,1722540.0675686495,36814.584912719445,1021.7237122655936,1021.7237122655936,55202.94423586366,1891.5112368659577
17,1578575.791641374,36814.584912719445,1021.7237122655936,1021.7237122655936,52794.53190548439,1776.003100208689
18,1474369.7201796602,36386.84255102666,1021.7237122655936,1021.7237122655936,45654.83951916475,1688.710026373663
19,1374513.8363126393,36048.166591582914,973.9524692851338,973.9524692851338,45654.83951916475,1634.915647171969
20,1296060.0964859445,34161.85266206033,973.9524692851338,973.9524692851338,45654.83951916475,1614.3014702870391
21,1264072.2456875436,33265.72694204999,973.9524692851338,973.9524692851338,45654.83951916475,1614.3014702870391
22,1262255.3847133426,32360.663695545467,973.9524692851338,973.9524692851338,45654.83951916475,1587.3277770249642
23,1193842.5917227855,31223.79119433393,973.9524692851338,973.9524692851338,45654.83951916475,1511.0962300368428
24,1101649.5223689654,30717.88761647169,973.9524692851338,973.9524692851338,45654.83951916475,1458.9717048028313
25,1019863.6775139696,30440.852212333968,973.9524692851338,973.9524692851338,45190.21536785692,1401.7232701627895
26,980552.4076566144,29570.092934401287,889.6496174618579,889.6496174618579,45190.21536785692,1350.2303774984516
27,980552.4076566144,29108.12028522011,889.6496174618579,889.6496174618579,45190.21536785692,1300.080372206127
28,927867.5616454846,27564.221618950312,845.2354085957879,845.2354085957879,45190.21536785692,1253.7812136507007
29,858126.4004592934,26124.383884517283,804.6364073055295,804.6364073055295,45190.21536785692,1212.8994195699695
30,847630.5147267138,23558.45047430846,752.6480951684157,752.6480951684157,45190.21536785692,1183.8041606332745
31,847630.5147267138,21236.604267630053,701.4160612999088,701.4160612999088,45190.21536785692,1176.5969731103885
32,811706.2861599417,19962.55045983871,648.3620534246543,648.3620534246543,45190.21536785692,1173.8988367775044
33,811706.2861599417,18591.158417799357,597.7742635275379,597.7742635275379,41974.43085522889,1120.6682970313948
34,736550.9029889124,15989.296809627518,555.5916261420855,555.5916261420855,41974.43085522889,1076.7593305670125
35,626416.1327506118,14033.565363623644,543.8760182112137,543.8760182112137,40278.54076801738,1039.6167700487283
36,545581.9009289059,12920.695380407278,541.6956972079121,541.6956972079121,40278.54076801738,1002.6534660255048
37,484094.2052173434,11947.293391371271,509.85280031466766,509.85280031466766,40112.43836492919,967.6380819615612
38,447786.81276845513,11415.190641358296,447.72202907355177,447.72202907355177,40112.43836492919,933.4164208258072
39,447786.81276845513,11176.725604192166,444.2937384262145,444.2937384262145,37493.114798232265,917.6853759412606
40,431502.316303246,11145.176469942846,444.2937384262145,444.2937384262145,37393.0542167523,916.6630866869542
41,410569.0587233951,10651.666591622648,401.8979872305468,401.8979872305468,37020.82834140602,915.1562598726782
42,405637.72495341033,10502.11250662395,366.12996005925794,366.12996005925794,37020.82834140602,875.4409921233103
43,385195.7177218264,10436.586666665127,366.12996005925794,366.12996005925794,36571.95222545968,866.0910716047009
44,385195.7177218264,10275.728389703523,359.9036475267625,359.9036475267625,36326.86998565072,858.3055346368914
45,371914.3257377743,10229.920217309456,345.785849522392,345.785849522392,36100.10059595283,856.9222215828012
46,371914.3257377743,10176.623518356144,344.8890072313444,344.8890072313444,35793.19502818054,856.2820703019157
47,358963.93440596753,10087.939473128605,332.975706606828,332.975706606828,35748.74770350383,855.1055662339938
48,340376.6976239735,9979.809231342366,332.975706606828,332.975706606828,35717.45219415852,801.1348180371308
49,340376.6976239735,9887.039873266158,303.9689410994325,303.9689410994325,35653.92468515721,752.9903751809114
50,311156.3451099789,9796.163586254066,292.24430915903133,292.24430915903133,35653.92468515721,726.3597543413833
51,269235.76841009955,9708.71284051351,206.46140289866167,206.46140289866167,35505.17545286635,720.8988932983789
52,247079.01311111788,9624.826278984689,204.6852278478085,204.6852278478085,34848.98713343592,720.8151464605811
53,237989.89553071803,9544.2644517475,185.7979200121209,185.7979200121209,34848.98713343592,719.1012904502973
54,236979.5433326437,9466.867753934996,162.04902879830644,162.04902879830644,34370.07180048259,676.4571807414085
55,236979.5433326437,9392.58042474137,160.6260021122928,160.6260021122928,33810.3317529152,662.3065641879716
56,222993.73245283807,9321.34226090086,158.36930725746052,158.36930725746052,33665.44995439512,662.3065641879716
57,213919.43890010545,9253.113881013487,155.27647140514728,155.27647140514728,33202.11741417952,628.4395065970551
58,211188.9003743481,9187.874440440948,155.27647140514728,155.27647140514728,33060.67011682533,580.7974328639184
59,203119.83575657217,9125.616997471592,128.74814658346463,128.74814658346463,33058.04092478428,561.8953557788508
60,203119.83575657217,9123.400000000003,128.02999144988112,128.02999144988112,33042.10263123715,559.5303520591294
61,203119.83575657217,9123.400000000003,127.81047177013438,127.81047177013438,33018.386278474056,553.7274942368099
62,196975.0565892723,9123.400000000003,122.37512988545036,122.37512988545036,32972.05945633369,543.320385095354
63,190318.67347796587,9123.400000000003,122.37512988545036,122.37512988545036,32972.05945633369,539.1649658673693
64,189967.4015079938,9123.400000000003,115.17589353450616,115.17589353450616,32902.6963775632,505.4769461347874
65,185360.7933559524,9123.400000000003,100.08139367413152,100.08139367413152,32367.879785836623,487.7313790923546
66,182217.80128135515,9123.400000000003,95.47918485888512,95.47918485888512,30968.15352764928,487.4493659560301
67,181447.5767032168,9123.400000000003,95.47918485888512,95.47918485888512,30835.165138791606,487.4493659560301
68,181111.76828194247,7631.196582448666,81.23278362028782,81.23278362028782,30080.221797542243,487.2013683041162
