,Poor,Weak,Good,Poor_Good,Weak_Good,Poor_Weak
0,196.09216106430503,38.41157070805654,2.075843642601679,196.09216106430503,38.41157070805654,196.09216106430503
1,65.41268469218609,38.41157070805654,2.075843642601679,2.075843642601679,2.075843642601679,38.41157070805654
2,2.4206619420527473,2.4206619420527473,2.075843642601679,2.075843642601679,2.075843642601679,38.41157070805654
3,2.4206619420527473,2.4206619420527473,2.075843642601679,2.075843642601679,2.075843642601679,2.4206619420527473
4,2.4206619420527473,2.4206619420527473,2.075843642601679,2.075843642601679,2.075843642601679,2.4206619420527473
5,2.4206619420527473,2.4206619420527473,2.075843642601679,2.075843642601679,2.075843642601679,2.4206619420527473
6,2.4206619420527473,2.4206619420527473,1.6477978520602057,1.6477978520602057,2.075843642601679,2.4206619420527473
7,2.4206619420527473,2.4206619420527473,1.2833250871984214,1.6477978520602057,1.9772895814175107,2.4206619420527473
8,2.4206619420527473,2.4206619420527473,1.1517838373000595,1.283484817652328,1.9772895814175107,2.4206619420527473
9,2.4206619420527473,2.4206619420527473,1.1517838373000595,1.1511422557963507,1.2916966981057598,2.4206619420527473
10,2.4206619420527473,2.4206619420527473,0.8337548455441459,1.1511422557963507,1.2092135922878193,2.4206619420527473
11,2.4206619420527473,2.4206619420527473,0.8337548455441459,0.8316375090051586,0.8431740810474704,2.4206619420527473
12,2.4206619420527473,2.4206619420527473,0.832877965115538,0.8316375090051586,0.8431740810474704,2.4206619420527473
13,2.4206619420527473,2.4206619420527473,0.832877965115538,0.8316375090051586,0.8119893062448851,2.4206619420527473
14,2.4206619420527473,2.4206619420527473,0.832877965115538,0.8316375090051586,0.7963108016520796,2.3512593272208724
15,2.4206619420527473,2.0292566185331085,0.832877965115538,0.8316375090051586,0.7963108016520796,1.8800801535091425
16,2.084478934515973,1.7844899862619659,0.8062041123928838,0.8052530346893328,0.7963108016520796,1.1770361181444697
17,1.8648003876076837,1.3608482204285808,0.8062041123928838,0.8052530346893328,0.7963108016520796,1.1770361181444697
18,1.710372115057196,1.3608482204285808,0.8062041123928838,0.8052530346893328,0.7963108016520796,1.047550517486553
19,1.5829322386676463,1.1787105360297998,0.7972854339614937,0.8052530346893328,0.7963108016520796,0.92864593988419
20,1.4013489111255115,1.0487646648291762,0.7972854339614937,0.7958549747122308,0.7963108016520796,0.8283340192898015
21,1.2349164954608942,0.9612236008501874,0.7960350005476288,0.7958549747122308,0.7963108016520796,0.8114095444667178
22,1.1058804132565423,0.8802550146516972,0.7960350005476288,0.7958549747122308,0.7963108016520796,0.7966073014274797
23,1.0344548492348722,0.831458521606421,0.7958323639220468,0.7958323639220468,0.7963108016520796,0.7966073014274797
24,0.9871733343526319,0.8223664940087914,0.7958323639220468,0.7958323639220468,0.7963108016520796,0.7959454419452197
25,0.9059422206781405,0.8001383601850723,0.7958323639220468,0.7958323639220468,0.7963108016520796,0.7957763924991932
26,0.9013946661356244,0.8001383601850723,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
27,0.8809281845069012,0.8001383601850723,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
28,0.841712104490479,0.797914291592501,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
29,0.8198379218377383,0.7965902501430411,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
30,0.8077546846302477,0.7961221206604143,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
31,0.8035860754808284,0.7961221206604143,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
32,0.8035860754808284,0.7961221206604143,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
33,0.7994992578816926,0.7961221206604143,0.795801235311892,0.7958323639220468,0.7963108016520796,0.7957763924991932
34,0.7982863796326667,0.7958144259966506,0.795801235311892,0.7958323639220468,0.796267153917831,0.7957763924991932
35,0.7979966479147491,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7959193032315417,0.7957763924991932
36,0.7962949830071703,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7959193032315417,0.7957763924991932
37,0.7962141695122944,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7959193032315417,0.7957763924991932
38,0.7962141695122944,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7959193032315417,0.7957763924991932
39,0.7962141695122944,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7959193032315417,0.7957763924991932
40,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7958884958640797,0.7957763924991932
41,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7958884958640797,0.7957763924991932
42,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7958323639220468,0.7958884958640797,0.7957763924991932
43,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7958149880655654,0.7958884958640797,0.7957763924991932
44,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7958149880655654,0.7958884958640797,0.7957763924991932
45,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7957893546914356,0.7958884958640797,0.7957763924991932
46,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7957893546914356,0.7958536202926862,0.7957763924991932
47,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7957893546914356,0.7958536202926862,0.7957763924991932
48,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7957893546914356,0.7958536202926862,0.7957763924991932
49,0.7958672458165514,0.7958144259966506,0.795801235311892,0.7957893546914356,0.7958186589434028,0.7957763924991932
