,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.75,0.25,1.0,0.75,0.25,1.0,0.25,0.0,0.5,0.0,0.008536700087982402
1,0.0,0.25,0.25,0.25,1.75,3.6,0.0,0.5,0.0,0.5,0.02893829489281867
2,0.75,0.0,0.5,0.5,0.75,4.2,0.5,0.0,0.5,0.0,0.03744002291713722
3,0.75,0.25,0.0,1.0,0.0,3.2,0.25,0.25,0.5,0.75,0.1285156335776853
4,0.0,0.0,0.0,0.25,0.0,1.0,0.75,0.5,0.75,0.0,0.02809156812413393
5,0.0,0.75,1.25,0.75,0.25,2.0,0.0,0.5,0.0,0.0,0.0034496214861511358
6,1.25,0.75,0.0,0.0,0.75,3.6,0.5,0.75,0.0,0.0,0.011548687068061534
7,0.0,0.25,0.0,0.75,0.0,4.0,0.25,0.25,2.0,0.25,0.025693323343226968
8,0.25,0.0,1.25,0.25,0.5,1.6,0.5,0.0,0.25,0.25,0.007179917762636605
9,0.0,0.5,0.0,0.5,0.0,1.6,1.75,0.0,0.0,0.75,0.5149906710188752
10,2.0,0.0,0.0,0.0,0.0,3.4000000000000004,0.25,0.0,1.25,0.25,0.00012154305810357028
11,0.0,1.0,0.0,0.75,0.0,3.2,0.75,0.25,0.5,0.0,0.6947609618393348
12,0.25,0.0,0.75,0.25,0.25,3.8000000000000003,0.25,0.75,0.0,0.25,0.007684002000137424
13,0.0,0.75,0.0,0.5,0.5,4.0,0.5,0.0,0.5,0.75,4.91246375197608
14,0.5,0.75,0.25,0.25,1.25,2.2,0.0,0.0,0.0,0.5,0.18091473875709724
15,0.0,0.25,1.0,0.0,2.0,3.6,0.25,0.25,0.0,0.0,0.0019332760744898204
16,1.25,0.25,1.0,0.5,0.5,4.6,0.0,0.25,0.0,0.0,0.004068962315288221
17,1.25,0.0,0.0,0.5,0.75,4.6,0.75,0.0,0.5,0.0,0.02221938575942433
18,0.0,1.25,1.0,0.0,0.25,2.4000000000000004,0.0,0.75,0.75,0.0,0.000976870296463185
19,0.5,0.25,0.25,0.0,0.25,4.6,0.25,0.0,1.75,0.25,0.016952482997318826
20,0.25,0.25,1.0,0.0,0.5,4.6,0.0,0.0,0.75,0.0,0.011772656861503543
21,0.0,0.25,0.25,0.75,0.25,4.800000000000001,0.5,0.25,1.0,0.0,0.10177518923999627
22,0.0,0.0,0.0,0.5,0.5,3.0,0.0,0.0,1.75,1.25,0.025147007914034833
23,0.0,0.0,0.0,0.5,1.0,3.0,1.0,0.5,0.5,0.5,0.04634406199076413
24,0.0,0.25,0.5,1.25,0.0,4.800000000000001,0.0,0.5,0.25,1.0,0.007836409268642748
25,0.25,0.5,2.25,0.0,0.0,3.2,0.0,0.25,0.25,0.25,0.0009953179886637445
26,0.5,0.5,0.0,0.0,0.0,4.4,1.25,0.0,0.5,0.75,0.31104840837478337
27,0.75,0.25,0.0,0.5,0.5,4.6,0.75,0.5,0.25,0.25,0.03881010254361455
28,0.5,0.25,0.0,0.5,0.75,3.6,0.25,0.25,1.0,0.25,0.13803300296351778
29,0.75,0.0,0.25,1.0,0.25,3.2,0.0,0.0,1.0,0.75,0.05371391764160362
30,0.25,0.5,0.0,0.25,0.25,3.6,0.5,0.25,0.0,0.25,0.9550454256279632
31,0.25,0.0,0.25,0.25,1.75,3.2,0.0,0.0,0.75,0.0,0.03900514447998824
32,0.0,1.25,0.75,0.0,0.0,4.6,1.0,0.25,0.0,0.5,0.008448626324795353
33,0.0,0.0,0.5,0.0,0.0,3.4000000000000004,0.25,0.75,0.5,0.75,0.006517208305672774
34,0.0,0.0,1.5,0.0,0.0,4.2,0.25,0.5,1.0,0.0,0.00014026357672340838
35,0.0,0.0,0.75,0.0,0.5,4.4,0.0,2.25,0.0,0.0,1.6366500043377161e-06
36,0.0,1.5,0.5,0.0,0.5,1.6,0.75,0.75,0.0,0.0,0.002724504016980081
37,0.0,0.25,0.75,0.0,0.5,4.800000000000001,0.25,0.25,0.25,1.0,0.03265325555799533
38,0.75,0.0,0.5,0.75,0.0,2.6,0.0,0.5,0.5,0.0,0.011588244002551134
39,0.75,0.0,0.25,0.0,0.0,2.0,0.75,0.5,0.25,1.25,0.01704832228215128
40,0.25,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.75,0.011375738750427604
41,0.0,0.0,0.0,0.0,0.0,4.800000000000001,1.5,1.0,0.5,0.0,0.011448109182562628
42,0.0,0.0,0.25,0.25,0.0,2.2,0.5,1.25,0.0,0.5,0.004625670470912093
43,1.25,0.25,0.5,0.0,0.0,3.2,0.5,0.0,0.25,1.0,0.022405938760893366
44,0.5,1.5,0.0,0.0,0.0,4.2,0.75,0.0,0.0,0.5,0.6041768437517134
45,0.0,0.75,0.5,0.0,0.5,3.4000000000000004,0.25,1.0,0.0,0.25,0.004687863865017677
46,0.25,0.25,0.0,0.5,1.0,2.2,0.0,1.5,0.0,0.0,0.004066958441462466
47,0.0,0.0,1.25,0.0,0.0,1.0,1.25,1.0,0.0,0.5,2.3278086984653116e-05
48,0.5,0.5,1.0,0.0,0.0,2.0,0.25,0.75,0.75,0.0,0.0011956216275388338
49,0.25,0.0,0.75,1.25,0.25,4.6,0.75,0.0,0.25,0.75,0.03146681522418507
50,0.0,0.0,1.25,0.25,0.0,3.0,0.5,0.25,0.0,1.25,0.00908335072064831
51,0.0,0.0,1.0,0.5,1.5,2.6,0.0,0.25,0.0,0.0,0.005756218724543017
52,0.0,0.5,0.75,0.25,1.25,1.4,0.0,0.75,0.25,0.25,0.0013308433343389378
53,0.0,0.75,0.25,0.0,0.25,1.6,0.25,1.25,0.25,0.25,0.006737172049772704
54,0.25,0.25,0.25,0.5,2.0,3.0,0.0,0.25,0.0,0.0,0.09762374825645737
55,0.5,0.0,0.75,0.75,0.0,3.6,0.5,0.0,0.0,0.0,0.06595337905426805
56,0.25,0.5,0.0,0.25,0.0,4.6,1.25,0.25,0.75,0.25,0.1816455379208668
57,0.0,0.25,0.5,1.0,0.5,1.2,0.0,0.0,0.0,0.5,0.09142753722388902
58,0.0,0.0,0.0,0.25,0.75,2.6,0.25,1.5,0.0,0.75,0.001916707994841112
59,0.25,0.25,0.0,2.0,0.25,4.4,0.0,0.0,0.0,0.75,3.098756113287747
60,0.5,0.0,0.25,0.75,1.0,2.4000000000000004,0.0,0.0,0.75,0.25,0.05118798337718439
61,0.0,0.25,0.0,0.25,1.25,2.6,0.25,0.5,0.75,0.25,0.11242235714662475
62,0.25,0.0,0.5,2.5,0.0,2.0,0.0,0.0,0.0,0.0,0.03338459642209531
63,0.75,0.5,0.0,0.25,0.0,4.6,0.0,0.25,0.0,0.5,0.07002446854708688
64,0.25,0.75,0.5,0.0,0.25,3.2,0.25,1.75,0.0,0.0,0.0009330562216532935
65,1.0,0.25,0.75,0.25,0.0,2.6,0.5,0.75,0.0,0.0,0.010306699353960842
66,0.5,0.0,0.0,2.0,0.5,2.6,0.5,0.0,0.0,0.75,0.32495961912337673
67,0.5,0.0,0.0,0.25,0.0,1.8,0.25,0.75,1.0,0.5,0.028173368807465623
68,2.0,0.5,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.00170743660766004
69,0.75,0.25,0.0,0.0,1.0,2.6,0.75,0.0,0.25,0.0,0.15934692848264148
70,0.75,0.25,0.5,0.25,0.25,4.800000000000001,1.0,0.0,0.0,0.5,0.08806797061736264
71,0.25,0.75,0.75,0.25,0.0,3.8000000000000003,0.25,0.25,0.0,0.25,0.042149157452366866
72,0.25,0.5,1.25,0.0,0.75,2.4000000000000004,0.75,0.25,0.0,0.0,0.00664715918843488
73,0.25,0.25,0.75,0.0,0.0,3.8000000000000003,1.25,0.25,0.25,0.0,0.01378044235938916
74,0.0,0.0,1.25,0.0,0.25,1.0,0.0,0.5,1.0,0.75,0.0019020050269037698
75,0.25,0.0,0.75,0.0,0.0,1.8,0.25,0.25,1.75,0.0,0.000876566512205316
76,1.5,0.0,0.0,0.0,0.75,3.2,1.25,0.0,0.0,0.5,0.0013451225093130369
77,0.75,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.5,0.08043119327080754
78,0.0,0.5,0.75,0.25,0.0,1.6,0.75,0.75,0.0,0.25,0.004840798083135167
79,0.0,0.0,0.75,0.5,0.0,3.6,0.0,0.25,1.0,0.5,0.010947368916912337
80,0.0,0.0,0.0,1.25,0.0,2.8,0.5,0.5,0.75,0.0,0.05032520332110009
81,0.5,0.25,0.0,1.0,0.0,4.6,0.25,0.75,0.0,0.5,0.1756909399875262
82,0.75,0.25,0.5,0.25,0.0,3.0,1.25,0.25,0.25,0.0,0.025117740599791577
83,0.0,1.25,0.5,0.25,0.25,2.6,0.0,0.25,0.0,1.5,0.048927643526826395
84,0.25,0.5,0.75,0.0,0.25,1.8,0.0,0.5,0.25,0.25,0.020098859189245175
85,0.0,0.25,0.25,0.0,0.25,3.0,0.25,0.0,2.0,0.25,0.018556211638515424
86,0.0,0.75,0.75,0.75,0.25,4.4,0.25,0.0,0.0,0.25,0.1089947859499824
87,1.25,0.0,0.25,0.5,0.0,2.6,0.0,0.5,1.25,0.25,0.0008164582039022312
88,0.25,0.25,0.25,0.0,0.0,3.0,0.0,0.0,1.0,0.75,0.0866593395369736
89,2.25,0.0,0.0,0.0,0.25,2.8,0.0,0.25,0.25,0.5,0.00044378882034640883
90,0.25,0.25,0.75,0.0,0.25,3.8000000000000003,1.25,1.0,0.0,0.0,0.00036943463749058666
91,0.25,0.0,2.5,0.75,0.0,1.0,0.0,0.25,0.0,0.0,2.0971159454174927e-05
92,0.75,0.0,0.0,0.5,0.75,1.4,0.0,0.0,0.75,0.5,0.2109727576374465
93,0.0,1.25,0.75,0.25,0.0,4.800000000000001,1.75,0.0,0.0,0.25,0.0011220711920374765
