,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.25,0.25,0.25,0.25,0.0,1.8,0.0,0.25,0.75,2.25,0.03125443211970463
1,0.0,0.0,0.5,0.0,0.25,1.8,2.0,0.25,0.25,0.5,0.001936758501329179
2,0.5,0.0,1.0,0.25,0.0,3.0,0.0,1.25,0.75,0.25,0.00014522468929060854
3,1.5,0.0,0.0,0.0,0.5,2.6,0.25,0.0,0.0,1.25,0.009887746581836686
4,0.0,0.0,0.0,0.0,0.0,2.6,1.25,0.5,0.0,1.0,0.060228811617452166
5,0.75,0.25,0.25,0.0,0.25,1.0,1.0,0.25,0.0,1.0,0.03090505706158187
6,0.25,1.25,0.0,0.25,0.25,2.8,0.25,0.0,0.25,0.75,2.9304777233591217
7,0.0,0.25,0.5,0.0,1.5,4.4,0.25,1.25,0.0,0.25,0.00022675137223106566
8,1.0,0.0,0.0,0.75,0.0,1.8,0.0,0.5,0.5,0.25,0.01831950423598263
9,0.0,0.25,0.5,0.0,0.0,2.4000000000000004,0.0,0.75,0.0,0.0,0.005038992370856533
10,0.25,1.5,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,2.037142631372423
11,0.25,0.0,0.25,0.75,0.25,2.4000000000000004,0.25,0.0,0.5,0.0,0.21165977902244737
12,0.25,0.0,0.25,0.75,0.5,4.4,0.0,0.25,1.25,0.0,0.031232277561751568
13,1.0,0.5,0.0,0.25,0.25,3.2,0.5,0.0,0.5,0.5,0.3545050286940703
14,0.25,0.25,0.5,0.5,0.5,2.8,0.0,0.25,0.25,0.75,0.08278837941290743
15,0.0,0.25,0.0,1.0,2.0,3.2,0.25,0.0,0.5,0.0,0.5167446929478845
16,0.25,0.25,0.0,1.0,1.25,3.0,0.5,0.25,0.0,0.0,0.614918405768887
17,0.0,0.0,0.5,0.75,1.25,4.800000000000001,0.0,0.0,0.5,0.0,0.039136444895683575
18,0.5,0.0,0.0,0.5,0.25,1.4,0.5,0.0,0.25,0.0,0.20926305420215707
19,0.5,0.0,0.5,0.0,0.0,4.6,0.25,0.25,0.25,1.0,0.04230551061906976
20,0.0,0.75,0.25,1.0,0.25,4.4,0.75,0.5,0.25,0.5,0.05601871616886281
21,0.75,0.0,0.75,0.0,0.25,1.8,0.25,0.25,0.75,0.25,0.008745248276307873
22,0.0,0.0,0.75,0.5,0.0,3.0,0.0,1.0,0.0,1.25,0.0013617660501403848
23,0.0,1.5,0.25,0.75,0.0,4.2,0.25,0.0,0.25,0.0,1.1159258465702906
24,0.5,0.25,0.0,0.25,0.75,4.0,1.5,0.25,0.0,0.0,0.16684300177971648
25,0.25,0.0,0.25,0.25,0.25,2.6,1.5,0.5,0.0,0.75,0.018346312491546272
26,0.5,0.25,0.0,0.25,0.0,4.4,0.5,1.0,0.0,0.25,0.03348398296100368
27,0.25,1.25,0.25,1.25,0.5,4.4,0.25,0.0,0.0,0.0,1.3578996104839147
28,0.0,0.0,0.25,0.75,1.0,4.800000000000001,0.0,0.5,0.25,0.75,0.033826259663694284
29,0.0,0.75,0.0,0.75,0.75,4.4,0.25,0.5,0.0,0.0,0.145217657821391
30,0.0,0.25,0.75,0.75,1.25,2.0,0.0,0.5,0.25,0.25,0.005908366011576434
31,0.0,0.0,0.5,0.25,0.25,2.4000000000000004,0.25,1.0,1.0,0.0,0.0009079471224071469
32,1.0,1.25,0.0,0.5,0.5,2.6,0.0,0.25,0.25,0.0,0.0944403285732654
33,0.0,0.75,0.0,0.5,0.5,1.4,0.25,1.0,0.25,0.25,0.034514154230156066
34,0.25,0.75,0.0,0.5,0.25,3.4000000000000004,1.25,0.0,0.0,1.0,2.3615742179997237
35,0.0,0.25,0.5,0.75,0.0,1.8,0.0,1.0,0.25,0.5,0.005998619602973584
36,1.0,0.0,0.5,1.0,0.25,3.0,0.5,0.0,0.0,0.0,0.035947379447833896
37,1.0,0.0,0.5,0.5,0.0,1.2,1.25,0.0,0.0,1.0,0.00356298217459306
38,0.25,0.25,0.75,1.25,0.5,3.6,0.5,0.0,0.25,0.0,0.05829457198830569
39,0.5,0.0,0.5,1.5,0.0,2.4000000000000004,0.25,0.75,0.25,0.0,0.010104633019695358
40,0.0,0.0,0.25,0.75,0.0,4.0,0.0,0.25,1.5,0.5,0.018735140963617947
41,0.0,0.0,0.5,0.25,0.25,4.0,1.75,0.0,0.0,0.5,0.01265340708866115
42,0.0,0.75,0.25,0.75,0.25,1.0,0.0,0.5,0.0,0.0,0.031798468340806726
43,0.0,0.0,0.75,0.75,0.25,4.4,0.0,0.0,0.25,0.5,0.04769715307932802
44,0.0,0.0,0.0,0.0,0.25,2.6,0.25,0.25,0.25,0.0,0.4586093298729127
45,0.5,0.0,2.0,0.0,0.25,1.6,0.25,0.25,0.75,0.0,0.0007706378896435172
46,0.25,0.5,0.25,0.0,0.25,1.2,1.25,0.75,0.25,0.0,0.021513123911606827
47,0.75,1.0,0.75,0.0,0.25,4.0,0.5,0.0,0.0,0.5,0.1750979211044487
48,0.25,0.25,0.25,0.5,0.25,2.4000000000000004,0.25,1.5,0.0,0.25,0.001545128341443281
49,1.0,0.25,0.25,0.25,0.25,3.2,1.0,0.0,0.0,0.75,0.01858115359258058
50,0.25,0.0,0.25,1.0,0.25,1.2,1.25,0.0,0.0,0.5,0.12138246225990143
51,0.25,0.0,0.25,0.5,0.0,2.8,0.5,0.0,1.75,0.5,0.02359974929071387
52,0.0,0.25,0.0,0.0,0.75,1.6,0.0,0.0,1.0,0.0,0.28410495439631284
53,0.25,0.0,1.0,0.0,0.25,3.6,0.0,1.0,0.75,0.0,0.0004170347135908051
54,1.0,0.0,1.0,0.25,0.0,2.0,1.0,0.25,0.0,0.5,0.0022643012846768145
55,0.0,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.5,1.0,1.0639339557422267
56,0.0,1.75,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,1.75,0.5,0.05636007991117538
57,1.0,0.75,0.25,0.0,0.0,2.8,0.0,0.0,0.5,1.0,0.05008142856739888
