,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.25,0.0,0.25,0.25,2.25,3.0,0.5,0.0,0.0,0.0,0.07805964968259237
1,0.0,0.0,0.5,0.25,0.25,4.6,0.0,0.0,0.75,1.25,0.032606284116400604
2,0.75,0.25,0.0,0.25,0.25,1.8,0.25,1.25,0.5,0.0,0.003555770859725695
3,0.25,0.0,0.0,0.5,0.5,1.2,0.25,0.25,0.5,1.5,0.16586297167497582
4,0.25,0.25,0.5,0.75,1.25,2.8,0.25,0.0,0.0,0.25,0.08294036711220883
5,0.0,0.5,0.0,0.25,0.25,2.4000000000000004,0.75,0.5,0.0,1.0,0.10509028099313397
6,1.75,0.0,0.0,0.25,0.75,4.2,0.0,0.25,0.0,0.5,0.0064463280110555144
7,0.0,0.0,1.0,0.0,0.25,4.0,0.25,0.25,0.0,1.25,0.06858841649186087
8,0.0,1.25,0.25,0.0,0.0,3.4000000000000004,0.0,0.25,1.0,0.5,0.07266186174331442
9,0.5,0.75,0.0,0.75,0.25,4.0,0.0,0.25,0.5,0.25,0.2387087214980482
10,0.25,0.75,0.0,0.5,0.25,1.2,0.0,1.25,0.25,0.0,0.008167595388610034
11,0.5,1.25,0.0,1.5,0.25,2.2,0.0,0.0,0.0,0.0,0.5995001580057913
12,0.5,0.25,0.0,0.0,0.25,2.8,0.75,1.75,0.0,0.0,0.005859379632578786
13,0.0,0.25,0.0,0.5,0.25,4.2,0.0,0.5,0.25,0.5,0.10351730159473382
14,0.0,0.75,0.0,0.0,2.0,1.4,0.25,0.0,0.75,0.0,0.26324946613313077
15,0.25,0.25,0.5,0.5,0.5,1.0,0.25,0.75,1.0,0.25,0.0022364201958854886
16,0.75,0.0,0.25,0.25,1.25,1.6,0.0,0.25,0.0,0.0,0.050173026158381914
17,0.0,0.0,0.25,0.25,0.0,1.0,0.25,0.75,0.0,2.25,0.005511691015740531
18,0.75,0.0,0.0,0.0,1.25,3.0,0.75,0.5,0.0,0.25,0.027357099509492812
19,0.0,0.25,0.0,0.0,1.25,1.6,0.25,0.75,0.25,0.5,0.06511550592865081
20,1.5,0.0,0.0,0.0,0.0,3.8000000000000003,1.0,1.25,0.0,0.0,0.0007084184652027579
21,0.25,0.0,1.25,0.25,0.5,4.6,0.5,0.25,0.0,0.0,0.0064564260756769945
22,0.5,0.0,0.0,0.5,0.0,3.4000000000000004,1.0,1.0,0.25,0.25,0.021226943064413566
23,0.75,0.75,0.25,0.5,0.5,1.8,0.5,0.0,0.25,0.0,0.08514726242761807
24,0.0,0.75,0.25,0.75,0.25,3.6,0.25,0.25,0.0,0.25,0.5623421494074875
