,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,0.0,0.75,1.0,0.75,1.4,0.5,0.0,0.0,0.0,0.020970790984862726
1,0.0,2.0,0.0,0.0,0.0,1.6,0.5,0.25,0.25,0.0,0.6238023022531924
2,0.0,0.25,0.0,0.75,0.0,3.8000000000000003,0.75,0.75,0.5,0.75,0.07271564558755841
3,1.5,0.0,0.25,1.0,0.5,2.8,0.25,0.5,0.0,0.0,0.006424499457730193
4,0.75,0.75,0.0,0.0,0.0,1.0,0.0,2.25,0.0,0.0,0.0034347669206744895
5,0.0,0.0,0.5,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.020416638304296363
6,0.5,0.75,0.75,0.0,0.0,3.4000000000000004,0.5,0.75,0.25,0.25,0.006607372579581768
7,0.0,0.0,0.5,1.0,0.0,3.6,0.5,1.25,0.25,0.25,0.001029615407968914
8,1.5,0.0,0.5,0.75,0.0,2.0,0.75,0.25,0.0,0.25,0.006425676930194785
9,0.0,0.0,1.75,1.25,0.75,3.4000000000000004,0.0,0.0,0.0,0.25,0.0012190687374850537
10,0.25,0.5,0.5,1.25,0.0,1.8,0.0,0.75,0.5,0.25,0.007023374469786736
11,0.75,0.5,0.25,0.0,0.25,1.4,0.5,0.5,0.25,0.5,0.041434001022269226
12,0.25,0.0,0.5,0.0,0.25,3.4000000000000004,0.75,0.75,0.5,0.25,0.007219011741393243
13,0.0,0.0,0.25,0.0,0.25,2.2,0.75,0.0,1.0,1.75,0.062067482139540595
14,0.75,0.25,0.25,0.25,0.25,3.8000000000000003,0.25,1.5,0.0,0.25,0.0004298799670192454
15,0.5,0.5,0.0,0.0,1.25,2.2,0.0,0.25,1.0,0.0,0.05456865811781143
16,0.0,0.25,0.5,1.5,0.0,2.6,0.25,0.25,0.75,0.0,0.015171409896606276
17,0.25,0.25,0.75,0.25,0.5,4.6,1.0,1.0,0.0,0.0,0.0006659261811928128
18,0.25,0.25,1.5,0.75,0.75,3.4000000000000004,0.5,0.0,0.25,0.0,0.0015602683085983752
19,1.25,0.75,0.25,0.0,0.5,3.6,0.75,0.5,0.25,0.0,0.008034103806339121
20,0.0,0.25,0.0,1.75,0.0,2.0,0.25,0.5,1.0,0.0,0.02713234673995287
21,0.5,0.0,0.25,0.5,0.75,3.0,0.25,0.0,0.5,0.5,0.11267874709301078
22,0.0,0.75,0.25,1.0,0.25,1.4,0.0,0.25,0.0,0.75,0.31048942854413153
23,0.25,0.0,0.0,0.75,0.0,3.8000000000000003,0.5,1.5,0.25,0.25,0.002279138248351055
24,0.25,0.0,0.25,0.5,0.25,1.6,0.25,0.0,1.75,0.25,0.019012393797725922
25,0.5,0.25,0.0,0.5,0.0,1.4,0.25,0.5,0.0,1.5,0.0639449559154443
26,0.0,0.25,0.0,0.0,0.25,3.8000000000000003,0.25,0.25,1.75,1.0,0.054247174645859764
27,0.0,0.75,0.75,0.75,0.0,4.6,0.0,0.0,0.0,1.25,0.04998632773844461
28,0.75,0.0,1.0,0.0,0.0,1.0,1.25,0.75,0.0,0.25,0.00035140872786752585
29,0.5,0.25,0.0,0.25,0.5,1.6,0.0,0.25,0.5,0.5,0.11695468190897575
30,0.5,0.5,1.0,0.5,0.0,3.0,1.0,0.25,0.0,0.0,0.01532338297323396
31,0.75,0.0,1.25,0.0,0.25,4.6,0.25,0.5,1.5,0.0,2.8026193657495956e-05
32,0.0,0.5,1.25,0.5,0.75,2.2,0.0,0.25,0.0,0.25,0.017876573958112273
33,0.0,0.5,0.0,0.0,0.25,2.0,0.25,1.75,0.75,0.0,0.00305891854951852
34,0.0,0.75,0.0,0.25,0.0,1.2,0.75,0.5,0.0,0.5,0.11432778939531907
35,1.25,0.5,0.25,0.75,0.0,4.0,1.0,0.0,0.0,0.25,0.006112681699591125
36,1.75,0.0,0.75,0.0,0.0,2.6,0.25,0.75,0.0,0.0,8.449895472677892e-05
