,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
56,0.0,0.25,0.0,0.25,0.25,2.4000000000000004,1.75,0.0,0.25,0.0,0.5140332964784919,Global
57,0.0,1.0,0.0,0.0,1.25,5.0,1.0,0.0,0.0,0.75,3.999549519561855,What they knew
58,0.0,1.0,0.0,1.0,0.5,5.0,0.25,0.0,0.0,0.75,18.121423414627504,What they knew
59,0.0,1.0,0.0,0.75,0.5,3.8000000000000003,0.0,0.0,0.0,0.5,19.99307377673148,Global
60,0.25,1.75,0.0,0.5,0.5,3.0,0.25,0.0,0.0,0.5,5.048251358280766,Global
61,0.0,1.0,0.0,1.0,0.0,4.4,0.25,0.0,0.0,0.0,7.005069211478767,Global
62,0.0,0.25,0.0,1.0,0.25,4.800000000000001,0.0,0.0,0.25,1.0,4.89959176199326,Global
63,0.0,1.0,0.0,1.0,0.75,4.2,0.0,0.0,0.25,0.75,15.505382511255462,Global
64,0.0,1.0,0.0,0.5,0.0,3.6,1.0,0.0,0.25,0.25,4.378345525762565,Global
65,0.0,1.5,0.0,1.0,0.5,5.0,0.25,0.0,0.0,0.5,16.67536808089598,What they knew
66,0.0,1.0,0.0,1.0,0.5,5.0,0.25,0.0,0.0,0.5,17.871969185561838,What they knew
67,0.0,1.25,0.0,0.5,0.75,2.2,0.0,0.0,0.0,1.25,12.166872585458524,Global
68,0.25,0.0,0.0,1.5,1.25,4.2,0.0,0.0,0.0,0.5,1.7515638680082248,Global
69,0.0,1.0,0.0,1.25,0.0,3.4000000000000004,0.0,0.0,0.5,0.5,2.9831422451262473,Global
70,0.0,0.5,0.0,0.0,0.75,2.4000000000000004,0.75,0.25,0.25,1.25,0.6812516735773209,Global
71,0.0,0.5,0.0,1.0,0.5,2.4000000000000004,0.0,0.25,0.0,0.5,1.9221265352947494,Global
72,0.25,1.0,0.0,1.0,0.5,5.0,0.25,0.0,0.0,0.5,8.213275723313044,What they knew
73,0.0,1.75,0.0,0.25,1.0,5.0,0.0,0.0,0.0,0.75,21.602270219833855,What they knew
74,0.0,1.0,0.0,0.5,0.75,5.0,0.0,0.0,0.0,0.5,17.06353460669876,What they knew
75,0.0,1.75,0.0,0.5,0.75,5.0,0.0,0.0,0.0,0.75,21.75586406919344,What they knew
76,0.0,1.0,0.0,0.75,0.5,5.0,0.0,0.0,0.25,0.5,10.762083785885968,What they knew
77,0.0,2.0,0.0,0.0,0.5,5.0,0.5,0.0,0.0,0.5,10.184171834774254,What they knew
78,0.0,1.25,0.0,0.75,0.75,4.2,0.0,0.0,0.0,0.75,22.823805302839737,Global
79,0.0,1.5,0.0,0.5,0.75,4.4,0.0,0.0,0.0,0.75,20.3716043917752,Global
80,0.0,1.5,0.0,0.75,0.75,4.800000000000001,0.0,0.0,0.0,0.75,21.36586655036684,Global
81,0.0,1.0,0.0,1.0,0.5,3.8000000000000003,0.0,0.0,0.0,0.5,20.860579716364178,Global
82,0.0,1.75,0.0,0.5,0.75,4.800000000000001,0.0,0.0,0.0,0.75,21.657467685568783,Global
83,0.0,0.5,0.0,1.25,0.25,3.6,0.5,0.0,0.25,0.0,6.32808691866803,Global
84,0.0,1.5,0.0,0.5,0.75,5.0,0.0,0.0,0.0,0.75,20.26024035342014,What they knew
85,0.0,1.5,0.0,0.25,0.75,5.0,0.0,0.0,0.0,0.0,15.39440316547518,What they knew
86,0.0,1.75,0.0,0.5,0.75,4.800000000000001,0.0,0.0,0.0,0.5,21.409293869942474,Global
87,0.0,1.5,0.0,1.0,0.0,2.6,1.0,0.0,0.0,0.5,4.307352448178804,Global
88,0.25,0.25,0.0,2.0,0.5,2.8,0.5,0.0,0.25,0.25,1.9211815666702712,Global
89,0.5,2.25,0.0,0.0,0.75,4.800000000000001,0.0,0.0,0.0,0.25,0.9445357810979664,Global
90,0.25,0.75,0.0,0.25,0.25,1.4,0.75,0.0,0.25,0.5,1.2872242898382336,Global
91,0.0,2.0,0.0,0.0,1.25,5.0,0.0,0.0,0.0,0.25,15.132327164257507,What they knew
92,0.0,1.0,0.0,0.5,1.0,5.0,0.25,0.0,0.0,0.0,12.29086169957345,What they knew
93,0.0,1.25,0.0,0.75,1.5,1.0,0.5,0.0,0.0,0.25,2.6468904689262707,Global
94,0.0,0.75,0.0,0.5,0.75,2.8,0.0,0.0,0.25,0.75,10.178219720565831,Global
95,0.0,1.25,0.0,0.0,0.5,4.4,0.75,0.0,0.25,0.5,8.568123630295062,Global
96,0.5,1.0,0.0,0.5,0.25,3.6,0.25,0.0,0.0,0.75,0.8123845795098382,Global
97,0.0,0.0,0.0,1.0,0.75,3.8000000000000003,0.25,0.0,0.25,1.0,4.107783582211378,Global
98,0.0,1.75,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.75,2.0141106935478943,What they knew
99,0.0,1.5,0.0,0.5,0.75,5.0,0.0,0.25,0.0,0.75,3.755430468790109,What they knew
100,0.0,0.25,0.0,0.0,2.25,4.2,0.0,0.0,0.0,1.25,1.3360100914869455,Global
101,0.0,0.5,0.0,0.5,0.25,3.6,0.25,0.0,0.0,0.5,9.267259341025555,Global
102,0.0,0.0,0.0,0.25,0.5,3.6,0.0,0.0,0.0,0.5,4.3448840692022515,Global
103,0.0,0.75,0.0,0.75,0.5,4.2,1.0,0.0,0.0,0.25,12.074705102803962,Global
104,0.0,0.75,0.0,0.25,1.5,1.6,0.0,0.0,0.25,0.0,2.962209283056765,Global
105,0.0,1.25,0.0,1.0,1.5,5.0,0.0,0.0,0.25,0.25,8.393483392983947,What they knew
106,0.25,1.5,0.0,0.5,1.0,5.0,0.0,0.0,0.0,0.25,8.49480775739727,What they knew
107,0.0,1.75,0.0,1.75,0.0,4.0,0.25,0.0,0.0,0.0,6.027618149939529,Global
108,0.0,0.5,0.0,1.0,0.5,1.6,0.25,0.0,0.0,1.25,4.451193150777959,Global
109,0.0,0.0,0.0,0.75,0.75,4.6,0.25,0.0,0.0,0.5,5.544472282213077,Global
110,0.25,1.0,0.0,0.75,0.75,3.6,0.0,0.0,0.0,0.75,8.865405761362627,Global
111,0.25,0.75,0.0,0.0,0.5,2.2,0.25,0.0,0.0,0.0,2.7467553639309013,Global
112,0.0,1.75,0.0,0.75,0.5,5.0,0.25,0.0,0.25,0.0,10.554351744015582,What they knew
113,0.0,1.5,0.0,1.5,0.75,5.0,0.0,0.0,0.0,0.5,19.887331992216957,What they knew
114,0.0,1.75,0.0,0.75,0.75,4.800000000000001,0.0,0.0,0.0,0.5,22.347686037682667,Global
115,0.0,0.5,0.0,0.5,0.25,3.8000000000000003,1.25,0.25,0.0,0.0,1.9764011525637473,Global
116,0.0,0.25,0.0,2.0,0.0,4.2,1.5,0.0,0.25,0.0,0.6193765250759725,Global
117,0.0,0.5,0.0,0.5,1.25,2.6,0.75,0.0,0.0,0.0,3.504929142274296,Global
118,0.0,0.5,0.0,1.25,0.5,4.0,0.5,0.0,0.0,1.0,12.087973106574458,Global
