,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
54,0.0,1.25,0.0,0.25,0.5,4.6,0.0,0.0,0.0,1.0,16.697318351648114,Global
55,0.0,0.75,0.0,0.25,1.75,3.4000000000000004,0.25,0.0,0.0,0.5,4.540660869825753,Global
56,0.0,1.0,0.0,1.0,0.75,3.5,0.0,0.0,0.0,0.75,26.908075841575123,Perfect Hindsight
57,0.0,1.0,0.0,0.5,0.75,4.7,0.0,0.0,0.0,0.5,18.855836447178596,Perfect Hindsight
58,0.0,3.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.75,8.188592473219316,Global
59,0.0,3.75,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.75,7.548786670177588,Global
60,0.0,1.5,0.0,1.5,0.5,4.4,0.0,0.0,0.0,0.25,17.248857123457654,Global
61,0.0,3.75,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.75,8.226318076045402,Global
62,0.0,3.75,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.75,8.34668423144737,Global
63,0.0,1.5,0.0,1.0,1.0,4.7,0.0,0.0,0.0,0.25,23.199780178218777,Perfect Hindsight
64,0.0,1.0,0.0,1.25,1.0,4.5,0.0,0.0,0.0,0.0,19.824168902306212,Perfect Hindsight
65,0.0,3.75,0.0,0.0,0.0,3.8000000000000003,0.0,0.0,0.0,0.75,8.031617337209248,Global
66,0.0,1.0,0.0,1.0,0.75,3.8000000000000003,0.0,0.0,0.0,0.5,27.298652395609253,Global
67,0.0,1.0,0.0,1.0,0.25,1.4,0.5,0.0,0.0,0.5,3.067731909770523,Global
68,0.0,3.75,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.75,6.356686120126902,Global
69,0.0,1.25,0.0,1.25,0.75,2.6,0.0,0.0,0.25,0.25,10.461610671437068,Global
70,0.0,1.25,0.0,1.5,0.75,4.5,0.0,0.0,0.0,0.25,22.10251326659904,Perfect Hindsight
71,0.0,1.25,0.0,1.25,0.75,4.7,0.0,0.0,0.0,0.0,20.440092721836223,Perfect Hindsight
72,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,4.241491925966081,Global
73,0.0,0.25,0.0,0.25,1.0,2.8,0.25,0.0,0.0,2.0,2.9640771784857622,Global
74,0.0,0.75,0.0,0.5,1.0,3.4000000000000004,0.0,0.0,0.25,0.25,9.279973663148848,Global
75,0.0,0.5,0.0,1.5,0.75,3.4000000000000004,0.0,0.0,0.0,0.75,16.30241811820916,Global
76,0.0,3.75,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.75,7.86829958939515,Global
77,0.0,1.0,0.0,1.25,1.0,4.1,0.0,0.0,0.0,0.5,24.640808979803737,Perfect Hindsight
78,0.0,1.0,0.0,1.0,1.0,3.9,0.0,0.0,0.0,0.0,19.458398296441104,Perfect Hindsight
79,0.0,3.75,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.75,7.369760670545812,Global
80,0.25,0.75,0.0,0.75,1.0,4.0,0.0,0.0,0.0,0.5,7.26697540850315,Global
81,0.0,0.75,0.0,1.25,1.75,3.0,0.0,0.0,0.0,0.0,4.560505827277725,Global
82,0.0,3.75,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.75,6.923967851778869,Global
83,0.0,3.75,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.75,6.654248837526474,Global
84,0.0,1.0,0.0,1.0,0.75,4.1,0.0,0.0,0.0,0.5,27.23235437882959,Perfect Hindsight
85,0.0,1.25,0.0,1.0,0.75,4.3,0.0,0.0,0.0,0.5,24.18644851890679,Perfect Hindsight
86,0.0,3.5,0.0,0.25,0.0,1.0,0.25,0.0,0.0,0.25,4.335856629755596,Global
87,0.0,3.75,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.75,8.311976087255339,Global
88,0.0,0.5,0.0,0.75,0.75,2.8,0.5,0.0,0.0,0.25,8.101935842287933,Global
89,0.0,1.0,0.0,1.75,0.0,4.4,0.5,0.0,0.0,0.0,6.4682813010226745,Global
90,0.0,2.25,0.0,0.0,1.0,3.6,0.25,0.25,0.0,0.25,2.8207375250915097,Global
91,0.0,1.0,0.0,1.25,1.0,3.5,0.0,0.0,0.0,0.0,19.395787696187377,Perfect Hindsight
92,0.0,1.25,0.0,1.0,0.75,3.5,0.0,0.0,0.0,0.0,18.298828906897068,Perfect Hindsight
93,0.0,1.5,0.0,1.0,0.5,3.4000000000000004,0.5,0.0,0.0,0.0,11.37614032905509,Global
94,0.0,3.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,6.035940741116669,Global
95,0.0,0.0,0.0,1.25,0.75,1.4,0.0,0.0,0.25,0.25,1.7324376095374117,Global
96,0.0,3.75,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.75,5.697017660304864,Global
97,0.25,1.0,0.0,0.75,0.0,4.800000000000001,0.25,0.25,0.25,0.5,0.9335865781792494,Global
